Dimension,Resource Name,Description,URL,Phone,combined
physical,Fitbit,"Provides fitness tracking devices and an app to monitor physical activity, sleep, and nutrition for better health management.",https://www.fitbit.com,,Fitbit https://www.fitbit.com
physical,SparkPeople,"An online community offering fitness tracking, meal plans, and motivational resources for individuals seeking to improve their wellness.",https://www.sparkpeople.com,,SparkPeople https://www.sparkpeople.com
physical,Couch to 5K,A popular running program that helps beginners gradually increase their running ability to complete a 5K road race.,https://www.c25k.com,,Couch to 5K https://www.c25k.com
physical,Zocdoc,"An online service that helps users find healthcare providers and book appointments, including those related to physical wellness.",https://www.zocdoc.com,,Zocdoc https://www.zocdoc.com
physical,Healthline,"Offers a wealth of articles, guides, and resources on health topics, including exercise, nutrition, and wellness tips.",https://www.healthline.com,,Healthline https://www.healthline.com
physical,MedlinePlus,"A service of the National Library of Medicine providing resources on health topics, including physical wellness and exercise.",https://medlineplus.gov,,MedlinePlus https://medlineplus.gov
physical,Verywell Fit,"Provides articles, tips, and resources on fitness, nutrition, and overall physical wellness for a healthy lifestyle.",https://www.verywellfit.com,,Verywell Fit https://www.verywellfit.com
physical,Online Fitness Programs (Beachbody),Offers a variety of online fitness programs and workouts to help individuals achieve their fitness goals from home.,https://www.beachbody.com,,Online Fitness Programs (Beachbody) https://www.beachbody.com
physical,AARP Fitness,Provides resources and information on fitness programs and activities tailored for older adults to maintain physical wellness.,https://www.aarp.org,,AARP Fitness https://www.aarp.org
physical,SparkPeople,"An online resource offering tools for tracking nutrition and exercise, along with community support for wellness.",https://www.sparkpeople.com,,SparkPeople https://www.sparkpeople.com
physical,The Mayo Clinic,"Offers a comprehensive resource on health topics, including physical wellness, exercise, and nutrition guidelines.",https://www.mayoclinic.org,,The Mayo Clinic https://www.mayoclinic.org
physical,Exercise.com,"A platform that provides fitness coaching, workout plans, and resources for individuals looking to stay active.",https://www.exercise.com,,Exercise.com https://www.exercise.com
physical,Gold's Gym,A well-known fitness club offering a variety of training programs and classes aimed at improving physical wellness.,https://www.goldsgym.com,,Gold's Gym https://www.goldsgym.com
physical,The American College of Sports Medicine (ACSM),Provides resources and certifications for exercise professionals and offers guidelines on physical activity and health.,https://www.acsm.org,,The American College of Sports Medicine (ACSM) https://www.acsm.org
physical,Healthfinder,"A government website offering information on health topics, including physical wellness, nutrition, and preventive care.",https://healthfinder.gov,,Healthfinder https://healthfinder.gov
occupational,Occupational Safety and Health Administration (OSHA),OSHA provides guidelines and regulations to ensure safe and healthy working conditions for all employees across the U.S.,https://www.osha.gov,1-800-321-6742,Occupational Safety and Health Administration (OSHA) https://www.osha.gov
occupational,National Institute for Occupational Safety and Health (NIOSH),NIOSH conducts research and makes recommendations to prevent work-related injury and illness.,https://www.cdc.gov/niosh,1-800-356-4674,National Institute for Occupational Safety and Health (NIOSH) https://www.cdc.gov/niosh
occupational,Job Accommodation Network (JAN),"JAN offers free, expert, and confidential guidance on workplace accommodations and disability employment issues.",https://askjan.org,1-800-526-7234,Job Accommodation Network (JAN) https://askjan.org
occupational,Employee Assistance Program (EAP),"EAPs provide support for employees dealing with personal issues that may affect their work performance, including mental health and wellness resources.",https://www.eapassistance.com,,Employee Assistance Program (EAP) https://www.eapassistance.com
occupational,The National Wellness Institute,The National Wellness Institute promotes the concept of holistic wellness in workplace culture through education and resources.,https://www.nationalwellness.org,,The National Wellness Institute https://www.nationalwellness.org
occupational,American Psychological Association (APA) - Workplace,APA offers resources and articles that focus on mental health and psychological wellness in the workplace.,https://www.apa.org/topics/worker-wellbeing,,American Psychological Association (APA) - Workplace https://www.apa.org/topics/worker-wellbeing
occupational,WorkWell NYC,A program that promotes health and wellness for employees of New York City through various initiatives and resources.,https://www.nyc.gov/workwell,,WorkWell NYC https://www.nyc.gov/workwell
occupational,The American Heart Association - Workplace Health Solutions,This program provides resources and tools for organizations to create a culture of health in the workplace.,https://www.heart.org/en/healthy-living/healthy-lifestyle/workplace-health,,The American Heart Association - Workplace Health Solutions https://www.heart.org/en/healthy-living/healthy-lifestyle/workplace-health
occupational,Centers for Disease Control and Prevention (CDC) - Workplace Health,The CDC provides guidelines and resources for improving health in the workplace through various programs.,https://www.cdc.gov/niosh/topics/healthcare/default.html,,Centers for Disease Control and Prevention (CDC) - Workplace Health https://www.cdc.gov/niosh/topics/healthcare/default.html
occupational,Society for Human Resource Management (SHRM),SHRM offers resources and tools for HR professionals to promote workplace wellness and employee engagement.,https://www.shrm.org,1-800-283-7476,Society for Human Resource Management (SHRM) https://www.shrm.org
occupational,National Safety Council (NSC),NSC provides resources to help employers prevent workplace injuries and promote safety culture.,https://www.nsc.org,1-800-621-7619,National Safety Council (NSC) https://www.nsc.org
occupational,New Jersey Worker's Compensation Division,This division provides resources and information on workers' compensation benefits and rights in New Jersey.,https://www.nj.gov/labor/wc,1-609-292-2515,New Jersey Worker's Compensation Division https://www.nj.gov/labor/wc
occupational,The National Institute of Mental Health (NIMH),NIMH offers information and resources for mental health that can be applied in workplace settings.,https://www.nimh.nih.gov,1-866-615-6464,The National Institute of Mental Health (NIMH) https://www.nimh.nih.gov
occupational,Healthy People 2030,"This initiative provides science-based, 10-year national objectives for improving the health of all Americans, including workplace wellness.",https://health.gov/healthypeople,,Healthy People 2030 https://health.gov/healthypeople
occupational,The Wellness Council of America,This council helps businesses improve workplace wellness through programs and resources tailored to employee health.,https://www.wellnesscouncilofamerica.org,,The Wellness Council of America https://www.wellnesscouncilofamerica.org
occupational,New Jersey Mental Health Services,"Provides information and resources on mental health services available to residents, including workplace-related issues.",https://www.nj.gov/humanservices/dmhs,1-800-382-6717,New Jersey Mental Health Services https://www.nj.gov/humanservices/dmhs
occupational,The Workplace Wellness Alliance,A coalition that provides resources and strategies for organizations to implement effective wellness programs.,https://www.workplacewellness.org,,The Workplace Wellness Alliance https://www.workplacewellness.org
occupational,The American Diabetes Association - Workplace Wellness,Offers resources for employers to create a supportive environment for employees with diabetes and promote overall health.,https://www.diabetes.org/workplace,,The American Diabetes Association - Workplace Wellness https://www.diabetes.org/workplace
occupational,National Federation of Independent Business (NFIB),NFIB provides resources for small business owners to promote employee wellness and compliance with health regulations.,https://www.nfib.com,1-800-634-2669,National Federation of Independent Business (NFIB) https://www.nfib.com
occupational,New Jersey State Health Benefits Program,Provides health benefits and wellness programs for state employees and their families in New Jersey.,https://www.nj.gov/treasury/pensions/shbp.shtml,1-609-292-7524,New Jersey State Health Benefits Program https://www.nj.gov/treasury/pensions/shbp.shtml
occupational,Workplace Strategies for Mental Health,This initiative offers resources and tools for employers to improve mental health at work.,https://www.workplacestrategiesformentalhealth.com,,Workplace Strategies for Mental Health https://www.workplacestrategiesformentalhealth.com
occupational,The Employee Benefit Research Institute (EBRI),EBRI provides research and resources focused on employee benefits and workplace wellness initiatives.,https://www.ebri.org,,The Employee Benefit Research Institute (EBRI) https://www.ebri.org
occupational,National Wellness Association,"An organization that promotes wellness in the workplace through training, resources, and events.",https://www.nationalwellnessassociation.org,,National Wellness Association https://www.nationalwellnessassociation.org
occupational,American Cancer Society - Workplace Solutions,Provides resources and support for employers to promote cancer awareness and prevention in the workplace.,https://www.cancer.org,,American Cancer Society - Workplace Solutions https://www.cancer.org
occupational,New Jersey Society for Human Resource Management,Offers resources and networking opportunities for HR professionals in New Jersey to enhance workplace wellness initiatives.,https://www.njshrm.org,,New Jersey Society for Human Resource Management https://www.njshrm.org
occupational,The Society for Occupational Health Psychology,Promotes research and practice in occupational health psychology to improve workplace health and well-being.,https://sohp-online.org,,The Society for Occupational Health Psychology https://sohp-online.org
occupational,The National Center for Chronic Disease Prevention and Health Promotion,Provides guidelines and resources for promoting health and preventing chronic diseases in the workplace.,https://www.cdc.gov/chronicdisease,,The National Center for Chronic Disease Prevention and Health Promotion https://www.cdc.gov/chronicdisease
occupational,American Institute of Stress,This organization provides resources on stress management in the workplace to enhance employee wellness.,https://www.stress.org,,American Institute of Stress https://www.stress.org
occupational,New Jersey Division of Workplace Standards,"Offers information on workplace safety, rights, and resources for employees in New Jersey.",https://www.nj.gov/labor/wagehour,1-609-292-2272,New Jersey Division of Workplace Standards https://www.nj.gov/labor/wagehour
occupational,The Work-Life Balance Institute,Provides research and resources to help organizations promote work-life balance for improved employee wellness.,https://worklifebalanceinstitute.org,,The Work-Life Balance Institute https://worklifebalanceinstitute.org
occupational,The Center for Workplace Mental Health,Offers resources and guidance for employers to create a mentally healthy workplace environment.,https://www.workplacementalhealth.org,,The Center for Workplace Mental Health https://www.workplacementalhealth.org
occupational,New Jersey Job Bank,A resource for job seekers that includes information on workplace wellness initiatives and job opportunities.,https://www.nj.gov/labor/careerservices/jobbank,,New Jersey Job Bank https://www.nj.gov/labor/careerservices/jobbank
occupational,The National Center for Safety and Health in Housing,Provides resources for improving health and safety within housing and workplace settings.,https://www.cdc.gov/nceh/lead,,The National Center for Safety and Health in Housing https://www.cdc.gov/nceh/lead
occupational,The Institute for Health and Productivity Management,Provides research and guidance on health and productivity management in the workplace to enhance wellness.,https://www.ihpm.org,,The Institute for Health and Productivity Management https://www.ihpm.org
occupational,The National Center for Occupational Health and Safety,Provides a range of resources focused on occupational health and safety practices.,https://www.cdc.gov/niosh,,The National Center for Occupational Health and Safety https://www.cdc.gov/niosh
occupational,New Jersey Family Leave Insurance,Provides information on family leave insurance benefits to support employees' wellness and work-life balance.,https://www.nj.gov/labor/leave,,New Jersey Family Leave Insurance https://www.nj.gov/labor/leave
occupational,The Center for Occupational Health and Safety,Offers resources and research focused on improving health and safety in various occupational settings.,https://www.cdc.gov/niosh,,The Center for Occupational Health and Safety https://www.cdc.gov/niosh
occupational,The National Safety Council - Workplace Safety,The NSC offers training and resources for organizations to promote safety and prevent workplace injuries.,https://www.nsc.org/workplace,,The National Safety Council - Workplace Safety https://www.nsc.org/workplace
occupational,The National Institute for Occupational Health and Safety,Provides resources and guidelines for promoting occupational health and safety across diverse industries.,https://www.cdc.gov/niosh,,The National Institute for Occupational Health and Safety https://www.cdc.gov/niosh
occupational,The Employee Ownership Foundation,Offers resources for businesses promoting employee ownership and engagement in workplace wellness.,https://employeeownershipfoundation.org,,The Employee Ownership Foundation https://employeeownershipfoundation.org
social,American Psychological Association (APA),"APA provides resources for psychological health, including social wellness resources, research, and guidelines for improving mental health.",https://www.apa.org,1-800-374-2721,American Psychological Association (APA) https://www.apa.org
social,National Institute of Mental Health (NIMH),"NIMH provides information on mental health disorders, research, and resources to promote understanding and treatment of mental health issues.",https://www.nimh.nih.gov,,National Institute of Mental Health (NIMH) https://www.nimh.nih.gov
social,Community Tool Box,"This resource offers free tools and resources for community health and development, including strategies for enhancing social connections and wellness.",https://ctb.ku.edu,,Community Tool Box https://ctb.ku.edu
social,National Center for PTSD,"This center offers resources for individuals affected by trauma, including support for social wellness through community and family connections.",https://www.ptsd.va.gov,,National Center for PTSD https://www.ptsd.va.gov
social,Mental Health First Aid,"This program teaches people how to identify and respond to mental health challenges, fostering social wellness in communities.",https://www.mentalhealthfirstaid.org,,Mental Health First Aid https://www.mentalhealthfirstaid.org
social,National Domestic Violence Hotline,"This resource offers support and information for individuals affected by domestic violence, contributing to social wellness and safety.",https://www.thehotline.org,1-800-799-SAFE (7233),National Domestic Violence Hotline https://www.thehotline.org
social,Trellis,"Trellis provides a platform for community connections and mental health resources, focusing on improving individual and community social wellness.",https://www.trellisupports.com,,Trellis https://www.trellisupports.com
social,Big Brothers Big Sisters,"This organization provides mentorship programs that foster social connections and support youth development, enhancing social wellness.",https://www.bbbsa.org,1-888-412-6243,Big Brothers Big Sisters https://www.bbbsa.org
social,National Federation of Families for Children's Mental Health,"This organization provides support and advocacy for families of children with mental health challenges, promoting social wellness through community.",https://www.ffcmh.org,1-800-911-6206,National Federation of Families for Children's Mental Health https://www.ffcmh.org
social,Parents Anonymous,"This organization offers support groups for parents, promoting social wellness through shared experiences and resources for parenting challenges.",https://www.parentsanonymous.org,1-800-421-3511,Parents Anonymous https://www.parentsanonymous.org
social,AARP,"AARP provides resources and support for older adults, promoting social engagement and wellness among seniors across the U.S.",https://www.aarp.org,1-888-687-2277,AARP https://www.aarp.org
social,The Jed Foundation,"This organization focuses on mental health and suicide prevention for young adults, providing resources to promote social wellness on campuses.",https://www.jedfoundation.org,,The Jed Foundation https://www.jedfoundation.org
social,The Friendship Line,"A 24/7 helpline for older adults and adults with disabilities, providing emotional support and crisis intervention to promote social wellness.",https://www.aging.senate.gov/friendship-line,1-800-971-0016,The Friendship Line https://www.aging.senate.gov/friendship-line
social,National Parent Helpline,"This helpline offers emotional support for parents, providing resources to enhance social connections and parenting skills.",https://www.nationalparenthelpline.org,1-855-427-2736,National Parent Helpline https://www.nationalparenthelpline.org
social,The National Council for Behavioral Health,"This organization advocates for mental health and substance use policies, providing resources to improve social wellness nationwide.",https://www.thenationalcouncil.org,,The National Council for Behavioral Health https://www.thenationalcouncil.org
social,Active Minds,"Active Minds is a nonprofit organization that promotes mental health awareness and education on college campuses, enhancing social wellness.",https://www.activeminds.org,,Active Minds https://www.activeminds.org
social,ReachOut USA,"ReachOut provides online resources for youth mental health support, encouraging social wellness through community engagement and peer support.",https://us.reachout.com,,ReachOut USA https://us.reachout.com
social,Camp Sunshine,"This organization offers respite and support for children with life-threatening illnesses and their families, promoting social wellness through community.",https://www.campsunshine.org,1-800-664-5175,Camp Sunshine https://www.campsunshine.org
social,The National Council on Aging,"This organization focuses on improving the lives of older adults, providing resources for social engagement and wellness.",https://www.ncoa.org,,The National Council on Aging https://www.ncoa.org
social,Postpartum Support International,"This organization offers support for new parents experiencing postpartum issues, promoting social wellness through community and resources.",https://www.postpartum.net,1-800-944-4773,Postpartum Support International https://www.postpartum.net
social,Mentor.org,"Mentor.org connects youth with mentors, fostering social wellness through guidance, support, and community involvement.",https://www.mentoring.org,,Mentor.org https://www.mentoring.org
social,The Social Wellness Collective,"This organization aims to cultivate social wellness through community connection, education, and resources for individuals and groups.",https://www.socialwellnesscollective.com,,The Social Wellness Collective https://www.socialwellnesscollective.com
social,The National Alliance for Grieving Children,"This organization provides resources and support for children and families grieving a loss, promoting social wellness through community connections.",https://childrengrieve.org,,The National Alliance for Grieving Children https://childrengrieve.org
social,The National Organization for Rare Disorders (NORD),"NORD provides resources and advocacy for individuals with rare diseases, enhancing social wellness through community support and connections.",https://rarediseases.org,1-800-999-6673,The National Organization for Rare Disorders (NORD) https://rarediseases.org
social,The Social Work Helper,"This platform provides articles and resources for social workers and the community, focusing on social wellness and mental health awareness.",https://www.socialworkhelper.com,,The Social Work Helper https://www.socialworkhelper.com
spiritual,Spirituality & Health Magazine  ,"A magazine that explores the intersection of spirituality and health, offering articles, interviews, and insights on maintaining spiritual well-being.  ",https://spiritualityhealth.com  ,NaN  ,Spirituality & Health Magazine   https://spiritualityhealth.com  
spiritual,The Center for Spirituality and Healing  ,"A resource for education, research, and community engagement focusing on holistic health and spiritual wellness practices.  ",https://csh.umn.edu  ,612-626-5355  ,The Center for Spirituality and Healing   https://csh.umn.edu  
spiritual,Insight Timer  ,"A free meditation app that includes thousands of guided meditations, talks, and music tracks to support spiritual growth and mindfulness.  ",https://insighttimer.com  ,NaN  ,Insight Timer   https://insighttimer.com  
spiritual,Spiritual Care Association  ,An organization that supports spiritual care providers and offers resources for spiritual wellness in various settings.  ,https://spiritualcareassociation.org  ,866-563-8683  ,Spiritual Care Association   https://spiritualcareassociation.org  
spiritual,The Chopra Center  ,"Offers programs and resources for meditation, Ayurveda, and holistic health to enhance spiritual well-being.  ",https://chopra.com  ,760-494-1639  ,The Chopra Center   https://chopra.com  
spiritual,Mindful  ,"A website dedicated to mindfulness practices, offering articles, resources, and community for those seeking spiritual and mental wellness.  ",https://mindful.org  ,NaN  ,Mindful   https://mindful.org  
spiritual,The Spirituality Network  ,"Offers workshops, retreats, and resources to foster spiritual growth and community connections across various faiths.  ",https://spiritualitynetwork.org  ,614-228-0006  ,The Spirituality Network   https://spiritualitynetwork.org  
spiritual,The New Jersey Spiritual Wellness Center  ,"Provides workshops, classes, and community events focused on enhancing spiritual awareness and personal growth.  ",https://njspiritualwellness.org  ,732-555-0123  ,The New Jersey Spiritual Wellness Center   https://njspiritualwellness.org  
spiritual,American Psychological Association (APA)  ,"Offers resources on the psychological aspects of spirituality, including articles and research on its role in mental health.  ",https://apa.org/topics/spirituality  ,800-374-2721  ,American Psychological Association (APA)   https://apa.org/topics/spirituality  
spiritual,The Greater Good Science Center  ,"Provides research-based resources on well-being, mindfulness, and spirituality, including articles and online courses.  ",https://greatergood.berkeley.edu  ,NaN  ,The Greater Good Science Center   https://greatergood.berkeley.edu  
spiritual,The Institute for Spirituality and Health  ,"Focuses on the integration of spirituality in healthcare, providing resources and education on spiritual care.  ",https://ish-edu.org  ,713-791-6161  ,The Institute for Spirituality and Health   https://ish-edu.org  
spiritual,The Mindfulness Network  ,Offers mindfulness training and resources that support spiritual and emotional well-being through various programs and workshops.  ,https://mindfulness-network.org  ,NaN  ,The Mindfulness Network   https://mindfulness-network.org  
spiritual,The National Center for Complementary and Integrative Health  ,Provides information and research on the role of spirituality in health and wellness practices.  ,https://nccih.nih.gov  ,301-496-4780  ,The National Center for Complementary and Integrative Health   https://nccih.nih.gov  
spiritual,The International Association for the Study of Dreams  ,Provides resources on the spiritual significance of dreams and offers a platform for sharing dream experiences.  ,https://asdreams.org  ,NaN  ,The International Association for the Study of Dreams   https://asdreams.org  
spiritual,The Dali Lama's Official Website  ,"Offers teachings, articles, and resources on compassion, mindfulness, and spirituality from the perspective of Tibetan Buddhism.  ",https://dalailama.com  ,NaN  ,The Dali Lama's Official Website   https://dalailama.com  
spiritual,The Center for Action and Contemplation  ,"Founded by Richard Rohr, this center provides teachings and resources on contemplative spirituality and transformative living.  ",https://cac.org  ,505-792-1242  ,The Center for Action and Contemplation   https://cac.org  
spiritual,The Institute of Noetic Sciences  ,"Focuses on exploring the relationship between consciousness, spirituality, and science, offering research and educational resources.  ",https://noetic.org  ,707-779-8210  ,The Institute of Noetic Sciences   https://noetic.org  
spiritual,The Wellness Universe  ,"An online community that provides resources, events, and a directory of wellness professionals focused on holistic health and spiritual well-being.  ",https://wellnessuniverse.com  ,NaN  ,The Wellness Universe   https://wellnessuniverse.com  
spiritual,"The Association for Spiritual, Ethical, and Religious Values in Counseling  ","Focuses on integrating spirituality in the counseling profession, offering resources and educational materials.  ",https://aservic.org  ,NaN  ,"The Association for Spiritual, Ethical, and Religious Values in Counseling   https://aservic.org  "
spiritual,Spirituality and Health  ,"A resource for articles, podcasts, and tools that explore the connection between spirituality and health.  ",https://spiritualityhealth.com  ,NaN  ,Spirituality and Health   https://spiritualityhealth.com  
spiritual,New Jersey Association of Mental Health and Addiction Agencies  ,Offers resources on mental health that include spiritual wellness as a component of comprehensive care.  ,https://njah.org  ,732-292-1051  ,New Jersey Association of Mental Health and Addiction Agencies   https://njah.org  
spiritual,The Center for Mindfulness in Medicine  ,Provides mindfulness-based programs and resources that support spiritual and emotional wellness.  ,https://umassmed.edu/cfm  ,508-856-2656  ,The Center for Mindfulness in Medicine   https://umassmed.edu/cfm  
spiritual,The Mindfulness Institute  ,"Offers training and resources for mindfulness practice, emphasizing its spiritual benefits for overall wellness.  ",https://mindfulnessinstitute.org  ,NaN  ,The Mindfulness Institute   https://mindfulnessinstitute.org  
spiritual,The American Holistic Health Association  ,"Promotes holistic health, including spirituality as a vital component, providing resources and support.  ",https://ahha.org  ,866-229-7050  ,The American Holistic Health Association   https://ahha.org  
spiritual,The Spiritual Wellness Institute  ,Offers courses and resources for enhancing spiritual well-being through various practices and teachings.  ,https://spiritualwellnessinstitute.org  ,973-555-0140  ,The Spiritual Wellness Institute   https://spiritualwellnessinstitute.org  
spiritual,The New Jersey Interfaith Coalition  ,Provides resources and community engagement initiatives focused on interfaith dialogue and spiritual wellness.  ,https://njinterfaith.org  ,201-555-0180  ,The New Jersey Interfaith Coalition   https://njinterfaith.org  
spiritual,The Mindful Schools  ,Offers mindfulness courses for children and adults to foster spiritual growth and emotional resilience.  ,https://mindfulschools.org  ,NaN  ,The Mindful Schools   https://mindfulschools.org  
spiritual,The Center for Spiritual Living  ,"Provides resources, workshops, and classes focused on spiritual living and personal growth.  ",https://csl.org  ,303-759-3000  ,The Center for Spiritual Living   https://csl.org  
spiritual,The HeartMath Institute  ,"Offers research and tools that explore the connection between heart coherence, emotional well-being, and spiritual wellness.  ",https://heartmath.org  ,831-338-8500  ,The HeartMath Institute   https://heartmath.org  
spiritual,The Institute for Spiritual Development  ,Offers classes and workshops on spiritual development and holistic healing practices.  ,https://isdu.org  ,908-555-0200  ,The Institute for Spiritual Development   https://isdu.org  
spiritual,The National Spiritual Alliance  ,Provides resources for spiritual growth and community connection across diverse spiritual practices.  ,https://spiritualalliance.org  ,NaN  ,The National Spiritual Alliance   https://spiritualalliance.org  
spiritual,The Yoga Alliance  ,"A nonprofit organization that provides resources and standards for yoga teachers and practitioners, emphasizing the spiritual aspects of yoga.  ",https://yogaalliance.org  ,888-921-9642  ,The Yoga Alliance   https://yogaalliance.org  
spiritual,The New Jersey Institute for Training in Psychoanalysis  ,Offers programs that integrate spirituality into psychotherapy and mental health practices.  ,https://njitp.org  ,973-555-0210  ,The New Jersey Institute for Training in Psychoanalysis   https://njitp.org  
