,Resource Name,Description,URL,Phone,combined,Location
10,The National Fair Housing Alliance  ,"A national organization dedicated to ending discrimination in housing through education, advocacy, and enforcement of fair housing laws.  ",https://nationalfairhousing.org  ,NaN  ,The National Fair Housing Alliance   https://nationalfairhousing.org  ,Nationwide
11,The National Center for Housing Management  ,"Provides education and training for housing professionals, including property management and compliance with housing regulations.  ",https://www.nchm.org  ,NaN  ,The National Center for Housing Management   https://www.nchm.org  ,Nationwide
12,The National Housing Law Project  ,A nonprofit organization that provides legal resources and advocacy for low-income tenants to protect their housing rights.  ,https://www.nhlp.org  ,NaN  ,The National Housing Law Project   https://www.nhlp.org  ,Nationwide
13,Project HOME  ,"An organization dedicated to empowering individuals experiencing homelessness through housing, employment, and educational opportunities.  ",https://projecthome.org  ,NaN  ,Project HOME   https://projecthome.org  ,Nationwide
14,The Center for Community Progress  ,"Works to promote equitable and sustainable solutions for vacant and abandoned properties, providing resources for community revitalization.  ",https://communityprogress.org  ,NaN  ,The Center for Community Progress   https://communityprogress.org  ,Nationwide
15,The National Low Income Housing Coalition's (NLIHC) Housing Trust Fund  ,"Provides funding to build, rehabilitate, and operate rental housing for extremely low-income households in the U.S.  ",https://nlihc.org/explore-issues/policy-priorities/housing-trust-fund  ,NaN  ,The National Low Income Housing Coalition's (NLIHC) Housing Trust Fund   https://nlihc.org/explore-issues/policy-priorities/housing-trust-fund  ,Nationwide
16,The Homeownership Preservation Foundation  ,"Offers resources and counseling for homeowners at risk of foreclosure, helping them maintain their homes and financial stability.  ",https://www.995hope.org  ,NaN  ,The Homeownership Preservation Foundation   https://www.995hope.org  ,Nationwide
17,New Jersey Housing Advocates  ,A statewide organization that provides advocacy for affordable housing policies and resources for residents facing housing challenges.  ,http://www.njhousingadvocates.org  ,(732) 777-0001  ,New Jersey Housing Advocates   http://www.njhousingadvocates.org  ,'New Jersey
18,The National Association of Housing Cooperatives  ,"Provides resources, education, and advocacy for housing cooperatives, promoting affordable housing options through cooperative living.  ",https://www.coophousing.org  ,NaN  ,The National Association of Housing Cooperatives   https://www.coophousing.org  ,Nationwide
19,The U.S. Department of Agriculture (USDA) Rural Development  ,"Provides housing assistance programs for rural areas, including loans, grants, and housing repair assistance for low-income residents.  ",https://www.rd.usda.gov  ,NaN  ,The U.S. Department of Agriculture (USDA) Rural Development   https://www.rd.usda.gov  ,Nationwide
20,The National Association of Realtors®  ,"Provides resources and advocacy for homebuyers and renters, including information on affordable housing and local market trends.  ",https://www.nar.realtor  ,NaN  ,The National Association of Realtors®   https://www.nar.realtor  ,Nationwide
21,The Fair Housing Project  ,Offers education and advocacy to promote fair housing practices and combat housing discrimination in communities across the U.S.  ,https://www.fairhousingproject.org  ,NaN  ,The Fair Housing Project   https://www.fairhousingproject.org  ,Nationwide
22,The National Housing Conference  ,"A nonprofit organization that promotes affordable housing and equitable policies through research, advocacy, and community engagement.  ",https://www.nhc.org  ,NaN  ,The National Housing Conference   https://www.nhc.org  ,Nationwide
23,The National Council for Behavioral Health  ,"Provides resources for individuals experiencing mental health and substance use disorders, including housing support services.  ",https://www.thenationalcouncil.org  ,NaN  ,The National Council for Behavioral Health   https://www.thenationalcouncil.org  ,Nationwide
24,The Center for Urban and Regional Studies  ,"Conducts research and provides resources related to urban development and housing policies, focusing on community needs and solutions.  ",https://curt.uab.edu  ,NaN  ,The Center for Urban and Regional Studies   https://curt.uab.edu  ,Nationwide
25,The Institute for Community Living  ,"Provides housing and support services for individuals with mental health challenges, focusing on community integration and recovery.  ",https://www.iclinc.org  ,,The Institute for Community Living   https://www.iclinc.org  ,Nationwide
