Resource Name,Description,URL,Phone
NJ Mobility Services,NJ Mobility Services provides information on transportation options for seniors and individuals with disabilities in New Jersey.,https://www.nj.gov/humanservices/aging/mobility/,1-800-792-8820
Local Public Transportation Agencies,Local agencies provide specific transportation solutions and resources tailored to their respective communities across the U.S.,https://www.transit.dot.gov/about/overview/transit-agencies,NaN
RideShare NJ,RideShare NJ provides information and resources for carpooling and vanpooling options in New Jersey.,https://www.rideshare.nj.gov/,1-888-313-2000
Senior Transportation Services,"Various programs across the U.S. provide transportation services specifically designed for seniors, addressing their mobility needs.",https://www.eldercare.gov/,NaN
New Jersey Transit Rail,"NJ Transit Rail offers train services across New Jersey and into New York City, providing schedules and fare information.",https://www.njtransit.com/rail,1-973-275-5555
Bike Share Programs,Many cities in the U.S. offer bike share programs that provide access to bicycles for short-term rentals for local transportation.,https://www.bikeshare.com/,NaN
Community Ride Programs,Various community organizations provide ride programs to assist individuals in need of transportation for medical appointments and essential errands.,https://www.nj211.org/,NaN
Carpool Matching Services,"Services that help individuals find carpool partners in their area, promoting shared transportation and reducing commuting costs.",https://www.carpoolworld.com/,NaN
New Jersey Safe Routes to School,This program encourages safe walking and biking to school for children through community engagement and infrastructure improvements.,https://www.nj.gov/transportation/community/srts/,1-609-530-3965
Transit App,"The Transit app provides real-time public transit information, including schedules and route planning for various cities.",https://transitapp.com/,NaN
American Association of State Highway and Transportation Officials (AASHTO),AASHTO provides resources and advocacy for transportation policy and planning at the state and federal levels.,https://www.aashto.org/,1-202-624-5800
New Jersey Mobility and Transportation Planning,"This program focuses on transportation planning and mobility solutions in New Jersey, aiming to enhance travel options for residents.",https://www.nj.gov/transportation/mobility/,1-609-530-2750
New Jersey Bicycle and Pedestrian Resource Center,This center provides resources and information to promote biking and walking as viable transportation options in New Jersey.,https://www.njbikeped.org/,NaN
