County,Resource Type,Organization,Website,Phone,Address
Lycoming,Parent Organization Secondary Schools,Avis Elementary School; PTO,https://www.jsasd.org/,(570) 753-5220,"1088 Third StreetJersey Shore, PA 17740"
Delaware,Parent Organization Secondary Schools,Coebourn Elementary School; PTO,https://www.pdsd.org/,(610) 497-6300,"1 Coebourn BlvdBrookhaven, PA 19015"
Bucks,Parent Organization Secondary Schools,Gwyn Nor Elementary School; HSA,https://gwynnor.npenn.org/,(215) 368-7105,"139 Hancock RoadNorth Wales, PA 19454"
Bucks,Parent Organization Secondary Schools,Newtown Elementary School; PTO,https://www.crsd.org/newtownes,(215) 944-2200,"1 Wrights RdNewtown, PA 18940"
Bucks,Parent Organization Secondary Schools,Robert B. Deibler Elementary School; PTO,https://www.pennridge.org/,(215) 257-1146,"1122 W. Schwenkmill RoadPerkasie, PA 18944"
Bucks,Parent Organization Secondary Schools,Gwynedd Square Elementary School; HSA,https://gwyneddsquare.npenn.org/,(215) 855-4331,"1641 Supplee RoadLansdale, PA 19446"
Delaware,Parent Organization Secondary Schools,Rose Tree Elementary School; PTG,https://www.rtmsd.org/,(610) 627-7200,"1101 First AveMedia, PA 19063"
Bucks,Parent Organization Secondary Schools,Montgomery Elementary School; HSA,https://montgomery.npenn.org/,(215) 368-6614,"1221 Stump RoadNorth Wales, PA 19454"
Bucks,Parent Organization Secondary Schools,Mill Creek Elementary School; PTO,https://millcreek.bristoltwpsd.org/,(267) 599-2440,"6500 Mill Creek RoadLevittown, PA 19057"
Delaware,Parent Organization Secondary Schools,Nether Providence Elementary; HSA,https://www.wssd.org/,(610) 892-3470,"410 Moore RdWallingford, PA 19086"
Bucks,Parent Organization Secondary Schools,Buckingham Elementary School; PTO,https://www.cbsd.org/,(267) 893-4200,"2414 Durham RoadBox 158Buckingham, PA 18912"
Bucks,Parent Organization Secondary Schools,New Hope-Solebury Upper Elementary School; HSA,https://www.nhsd.org/,(215) 862-8026,"186 West Bridge StreetNew Hope, PA 18938"
Delaware,Parent Organization Secondary Schools,Media Elementary School PTG,https://www.rtmsd.org/,(610) 627-6800,"120 E. Front StreetMedia, PA 19063"
Bucks,Parent Organization Secondary Schools,M.M. Seylar Elementary School; HSA,https://www.pennridge.org/,(215) 257-6272,"820 Callowhill RoadPerkasie, PA 18944"
Northampton,Parent Organization Secondary Schools,Forks Elementary School; PTA,https://forks.eastonsd.org/#,(610) 250-2536,"1709 Richmond RoadEaston, PA 18040"
Lehigh,Parent Organization Secondary Schools,Kernsville Elementary School; PTO,https://www.parklandsd.org/,(610) 351-5840,"5051 Kernsville RoadOrefield, PA 18069"
Northampton,Parent Organization Secondary Schools,Wilson Borough Elementary School; PTA,https://www.wilsonareasd.org/home,(484) 373-6220,"301 S. 21st StreetEaston, PA 18042"
Lehigh,Parent Organization Secondary Schools,Weisenberg Elementary School; PTO,https://www.nwlehighsd.org/,(610) 298-8661,"2665 Golden Key RoadKutztown, PA 19530"
Delaware,Parent Organization Secondary Schools,Glenolden School; HSA,https://www.interborosd.org/,(610) 237-6430,"150 S MacDade BlvdGlenolden, PA 19036"
Delaware,Parent Organization Secondary Schools,Loomis Elementary School; PTO,https://loomis.mnsd.org/,(610) 359-4350,"369 North Central BlvdBroomall, PA 19008"
Delaware,Parent Organization Secondary Schools,Culbertson Elementary School; PTO,https://culbertson.mnsd.org/,(610) 359-4340,"3530 Goshen RoadNewtown Square, PA 19073"
Delaware,Parent Organization Secondary Schools,Norwood School; HSA,https://www.interborosd.org/,(610) 237-6425,"558 Seneca AveNorwood, PA 19074"
Bucks,Parent Organization Secondary Schools,Pearl S. Buck Elementary School; PTO,https://www.neshaminy.org/Page/1,(215) 809-6300,"143 Top RoadLevittown, PA 19056"
Bucks,Parent Organization Secondary Schools,Jamison Elementary School; HSA,https://www.cbsd.org/,(267) 893-3500,"2090 Land RoadJamison, PA 18929"
Delaware,Parent Organization Secondary Schools,Worrall Elementary School; PTO,https://worrall.mnsd.org/,(610) 359-4300,"2979 Pennview AvenueBroomall, PA 19008"
Bucks,Parent Organization Secondary Schools,Walton Farm Elementary School; HSA,https://waltonfarm.npenn.org/,(215) 855-8800,"1610 Allentown RoadLansdale, PA 19446"
Lehigh,Parent Organization Secondary Schools,Parkway Manor Elementary School; PTO,https://www.parklandsd.org/,(610) 351-5850,"768 Parkway RoadAllentown, PA 18104"
Northampton,Parent Organization Secondary Schools,Palmer Elementary School; PTA,https://palmer.eastonsd.org/#,(610) 250-2521,"990 Echo TrailEaston, PA 18040"
Delaware,Parent Organization Secondary Schools,Pennell Elementary School; PTO,https://www.pdsd.org/,(610) 497-6300,"3300 Richard RoadAston, PA 19014"
Lehigh,Parent Organization Secondary Schools,Fred Jaindl Elementary School; PTO,https://www.parklandsd.org/,(610) 351-5880,"1051 Weilers RoadBreinigsville, PA 18031"
Lycoming,Parent Organization Secondary Schools,Ward L. Myers Elementary School; OPT,https://www.muncysd.org/,(570) 546-3129,"125 New StreetMuncy, PA 17756"
Bucks,Parent Organization Secondary Schools,Churchville Elementary School; PTO,https://www.crsd.org/churchvillees,(215) 944-1700,"100 New RoadChurchville, PA 18966"
Delaware,Parent Organization Secondary Schools,Indian Lane Elementary School; PTG,https://www.rtmsd.org/,(610) 627-7100,"309 S. Old Middletown RoadMedia, PA 19063"
Erie,Parent Organization Secondary Schools,Wattsburg Area Middle School; PTO,,(814) 824-4153,"10774Wattsburg RoadErie, PA 16509"
Lycoming,Parent Organization Secondary Schools,Cochran Primary School; PTO,https://www.wasd.org/,(570) 322-9731,"1500 Cherry StreetWilliamsport, PA 17701"
Lycoming,Parent Organization Secondary Schools,Loyalsock Middle School; PTO,https://www.ltsd.k12.pa.us/schools/loyalsock-township-high-school/,(570) 323-9439,"2101 Loyalsock DriveWilliamsport, PA 17701"
Lehigh,Parent Organization Secondary Schools,Schecksville Elementary School; PTO,https://www.parklandsd.org/,(610) 351-5830,"4260 Sand Spring RoadSchnecksville, PA 18078"
Erie,Parent Organization Secondary Schools,Harbor Creek Junior High School; Harbor Creek Senior High School; Harbor Creek School District,https://sr.hcsd.iu5.org/     https://jr.hcsd.iu5.org/     https://www.hcsd.iu5.org/,(814) 897-2100 Ext: 1368,"6375 Buffalo RoadHarbocreek, PA 16421"
Lehigh,Parent Organization Secondary Schools,Peters Elementary School; PTO,https://www.nlsd.org/domain/164,(610) 767-9827,"4055 Friedens RoadSlatington, PA 18080"
Lehigh,Parent Organization Secondary Schools,Cetronia Elementary School; PAC,https://www.parklandsd.org/,(610) 351-5860,"3635 BroadwayAllentown, PA 18104"
Bucks,Parent Organization Secondary Schools,Hatfield Elementary School; HSA,https://hatfield.npenn.org/,(215) 368-1585,"1701 Fairgrounds RoadHatfield, PA 19440"
Bucks,Parent Organization Secondary Schools,Warwick Elementary School; PTO,https://www.cbsd.org/,(267) 893-4050,"1340 Almshouse RoadJamison, PA 18929"
Bucks,Parent Organization Secondary Schools,Bridle Path Elementary School; HSA,https://bridlepath.npenn.org/,(215) 362-2200,"200 Bridle Path RoadLansdale, PA 19446"
Delaware,Parent Organization Secondary Schools,Prospect Park School; HSA,https://www.interborosd.org/,(610) 237-6420,"901 Pennsylvania AveProspect Park, PA 19076"
Bucks,Parent Organization Secondary Schools,Durham Nochamixon Elementary School; PTA,https://dn.palisd.org/,(610) 847-5131 Ext: 3,"41 Thomas Free DriveKintnersville, PA 18930"
Northampton,Parent Organization Secondary Schools,Williams Township Elementary School; PTA,https://www.wilsonareasd.org/home,(484) 373-6170,"2660 Morgan Hill RoadEaston, PA 18042"
Bradford,Parent Organization Secondary Schools,Canton High School; Canton Area School District,https://www.canton.k12.pa.us/#,(570) 673-5134,"509 E Main StreetCanton, PA 17724"
Bucks,Parent Organization Secondary Schools,Springfield Elementary School; PTA,https://sf.palisd.org/,(610) 847-5131 Ext: 6,"1950 Route 212Quakertown, PA 18951"
Bucks,Parent Organization Secondary Schools,Rolling Hills Elementary School; HSA,https://www.crsd.org/rollinghillses,(215) 944-2000,"340 Middle Holland RoadHolland, PA 18966"
Bucks,Parent Organization Secondary Schools,York Avenue Elementary School; HSA,https://york.npenn.org/,(215) 368-6002,"700 York AvenueLansdale, PA 19446"
Delaware,Parent Organization Secondary Schools,Springfield Literacy Center; HSA,https://www.ssdcougars.org/,(610) 690-3100,"210 West Woodland AvenueSpringfield, PA 19064"
Bucks,Parent Organization Secondary Schools,West Rockhill Elementary School; PTO,https://www.pennridge.org/,(215) 257-9200,"1000 Washington AvenueSellersville, PA 18960"
Delaware,Parent Organization Secondary Schools,Tinicum School; HSA,https://www.interborosd.org/,(610) 521-4450,"91 Seneca StEssignton, PA 19029"
Lehigh,Parent Organization Secondary Schools,Irontown Elementary School; PTO,https://www.parklandsd.org/,(610) 351-5810,"3929 Mauch Chunk RoadCoplay, PA 18037"
Bucks,Parent Organization Secondary Schools,Patricia A. Guth Elementary School;HSA,https://www.pennridge.org/,(215) 257-8057,"601 N. 7th StreetPerkasie, PA 18944"
Bucks,Parent Organization Secondary Schools,Sellersville Elementary School; PTU,https://www.pennridge.org/,(215) 257-6591,"122 W. Ridge AvenueSellersville, PA 18960"
Bucks,Parent Organization Secondary Schools,Trumbauersville Elementary School; PTO,https://tes.qcsd.org/,(215) 529-2550,"101 Woodview DriveQuakertown, PA 18951"
Lehigh,Parent Organization Secondary Schools,Kratzer Elementary School; PTO,https://www.parklandsd.org/,(610) 351-5820,"2200 Huckleberry RoadAllentown, PA 18104"
Delaware,Parent Organization Secondary Schools,Ithan Elementary School; PTO,https://ies.rtsd.org/,(610) 527-1357,"695 Clyde RoadBryn Mawr, PA 19010"
Bucks,Parent Organization Secondary Schools,Bedminster Elementary School; PTG,https://www.pennridge.org/,(215) 795-2929,"2914 Fretz Valley RoadPerkasie, PA 18944"
Delaware,Parent Organization Secondary Schools,Sabold Elementary School; HSA,https://www.ssdcougars.org/,(610) 938-6500,"468 East Thompson AveSpringfield, PA 19064"
Delaware,Parent Organization Secondary Schools,Glenwood Elementary School; PTG,https://www.rtmsd.org/,(610) 627-6900,"122 S. Pennell RoadMedia, PA 19063"
Bucks,Parent Organization Secondary Schools,Holland Elementary School; PTO,https://www.crsd.org/hollandes,(215) 944-1500,"597 Beverly RdHolland, PA 18966"
Delaware,Parent Organization Secondary Schools,Hillcrest Elementary School; HSA,https://www.upperdarbysd.org/Domain/4,(610) 853-4520,"2601 Bond AvenueDrexel Hill, PA 19026"
Delaware,Parent Organization Secondary Schools,Wallingford Elementary School; PTO,https://www.wssd.org/,(610) 892-3470,"20 S Providence Rd.Wallingford, PA 19086"
Bucks,Parent Organization Secondary Schools,Barclay Elementary School; HSA,https://www.cbsd.org/,(267) 893-4100,"2015 Palomino DriveWarrington, PA 18976"
Northampton,Parent Organization Secondary Schools,Kenneth N. Butz Elementary School; PTA,https://www.nazarethasd.k12.pa.us/,(610) 759-1118,"960 Bushkill Center RoadNazareth, PA 18064"
Bucks,Parent Organization Secondary Schools,Oxford Valley Elementary School; PTO,https://www.pennsburysd.org/,(215) 949-6808,"430 Trenton RoadFairless Hills, PA 19030"
Delaware,Parent Organization Secondary Schools,Aronimink Elementary School; HSA,https://www.upperdarbysd.org/Domain/4,(610) 853-4510,"4611 Bond AveDrexel Hill, PA 19026"
Northampton,Parent Organization Secondary Schools,Lower Nazareth Elementary School; PTA,https://www.nazarethasd.k12.pa.us/,(610) 759-7311,"4422 Newburg RoadNazareth, PA 18064"
Bucks,Parent Organization Secondary Schools,Quarry Hill Elementary School; PTO,https://www.pennsburysd.org/,(215) 321-2400,"1625 Quarry RoadYardley, PA 19067"
Delaware,Parent Organization Secondary Schools,Highland Park Elementary School; HSA,https://www.upperdarbysd.org/Domain/4,(610) 853-4530,"8301 West Chester PikeUpper Darby, PA 19082"
Delaware,Parent Organization Secondary Schools,Charles Kelly Elementary School; HSA,https://www.upperdarbysd.org/Domain/4,(610) 638-1070,"3400 Dennison AvenueDrexel Hill, PA 19026"
Delaware,Parent Organization Secondary Schools,Kindergarten Center; HSA,https://www.upperdarbysd.org/Domain/4,(610) 284-7992,"3200 State RoadDrexel Hill, PA 19026"
Bucks,Parent Organization Secondary Schools,Maureen M. Welch Elementary School; PTO,https://www.crsd.org/mmwelches,(215) 944-1800,"750 New RoadChurchville, PA 18966"
Bucks,Parent Organization Secondary Schools,New Hope-Solebury Middle School; PTG,https://www.nhsd.org/,(215) 862-0608,"184 West Bridge StreetNew Hope, PA 18938"
Delaware,Parent Organization Secondary Schools,Primos Elementary School; HSA,https://www.upperdarbysd.org/Domain/4,(610) 622-6755,"861 Bunting LanePrimos, PA 19018"
Delaware,Parent Organization Secondary Schools,Ardmore Avenue Elementary School; HSA,https://ardmore.williampennsd.org/,(610) 623-7900,"161 Ardmore AvenueLansdowne, PA 19050"
Bucks,Parent Organization Secondary Schools,Eleanor Roosevelt Elementary School; PTO,https://www.pennsburysd.org/,(215) 428-4256,"185 Walton DriveMorrisville, PA 19067"
Lycoming,Parent Organization Secondary Schools,Lycoming Valley Intermediate School; PTO,https://www.wasd.org/,(570) 601-3900,"1825 Hays LaneWilliamsport, PA 17701"
Northampton,Parent Organization Secondary Schools,Francis A. March Elementary School; PTA,https://march.eastonsd.org/#,(610) 250-2531,"429 Reeder StreetEaston, PA 18042"
Delaware,Parent Organization Secondary Schools,Darby Township School; HSA,https://dtspage.sedelco.org/,(610) 522-4375,"801 W. Ashland AveGlenolden, PA 19036"
Bucks,Parent Organization Secondary Schools,Hillcrest Elementary School; PTO,https://www.crsd.org/hillcrestes,(215) 944-1600,"420 E Holland RdSouthampton, PA 18966"
