County,Resource Type,Organization,Website,Phone,Address,Generated Description
Pike,Outpatient Behavioral Health Center,Behavioral Health Services – Hawley,,(570) 775-9276,"117A Pike County BlvdHawley, PA 18428","Behavioral Health Services in Hawley, Pennsylvania, offers comprehensive mental health care tailored to individual needs. The center's compassionate team includes psychiatrists, psychologists, therapists, and support staff, providing services such as individual and group therapy, psychiatric evaluations, crisis intervention, and support for various mental health disorders. Committed to evidence-based care, the facility features a welcoming environment and flexible appointment scheduling. They accept a wide range of insurance plans, aiming to make quality mental health services accessible to all. Behavioral Health Services prioritizes empowering individuals on their mental health journeys to foster resilience and overall wellness."
Westmoreland,Private Psychiatry Practice,The Counseling & Wellnes Center,https://www.counseling-and-wellness-center.com/,(877) 831-5059,"400 Depot StreetLatrobe, PA 15650","The Counseling & Wellness Center, located at 400 Depot Street, Latrobe, PA 15650, offers compassionate counseling and therapy services to enhance emotional wellness and effectively manage life challenges. Specializing in divorce mediation, the center supports individuals facing personal relationship issues and work-related stress. They accept most insurances, including Medicaid and Medicare, ensuring accessible care. Their dedicated staff provides personalized guidance, helping clients understand their emotions and fostering a better sense of self and relationships. The center aims to empower clients on their journey to a better life. Email: sherryshields@thecwc.co."
Westmoreland,Outpatient Behavioral Health Center,Westmoreland Psychotherapy Associates,https://www.wpatherapy.com/,(724) 733-3491,"4115 William Penn HwySuite 201Murrysville, PA 15668","Westmoreland Psychotherapy Associates (WPA), located in Murrysville, PA, offers collaborative, person-centered mental health therapy for individuals across the lifespan. Services include individual therapy, couples counseling, and family therapy, primarily for adults and teens. WPA provides convenient teletherapy sessions through secure online video conferencing, ensuring a safe space for support. Their holistic approach focuses on enhancing wellness and quality of life, and each therapist specializes in various populations. Appointments are available by contact, emphasizing a tailored experience to meet clients' unique mental health needs."
Westmoreland,General Hospital,Independence Health Frick Hospital,https://www.excelahealth.org/locations/frick-hospital/,(724) 547-1500,"508 South Church StreetMount Pleasant, PA 15666","Independence Health Frick Hospital, located in Mount Pleasant, PA, is a licensed 33-bed facility offering comprehensive healthcare services, including emergency care, outpatient mental health treatment, and addiction recovery programs. The hospital features specialized services like Child & Adolescent Behavioral Health inpatient care and School-Based Behavioral Health. Additional offerings include general acute care, outpatient rehabilitation, and various diagnostic services. Frick Hospital is committed to community care, backed by trained staff providing compassionate support, reflecting their motto of friends caring for friends and neighbors."
Cameron,Government Agency,Cameron County Commissioners Office,https://www.cameroncountypa.com/government/commissioners/index.php,(814) 486-3176,"20 E. 5th St.Emporium, PA 15834","The Cameron County Commissioners Office provides governance and administrative services for Cameron County, PA. The office oversees local policies in human services, elections, and fiscal management, including budget adoption and property assessments. Key functions include managing county personnel, veterans’ affairs, and collaborating with other county officials to set salaries. The commissioners, elected for four-year terms, serve as the county's chief governing body, ensuring compliance with state requirements and efficient record-keeping. The office also addresses community needs through various departments, such as Children and Youth Services, Emergency Management, and Veterans Affairs, enhancing local support systems."
Forest,Government Agency,Forest County Commissioners Office,https://www.co.forest.pa.us/government/county_commissioners.php,(814) 755-3537,"526 Elm Street#3Tionesta, PA 16353","The Forest County Commissioners Office, located at 526 Elm Street, Tionesta, PA, focuses on community welfare and efficient county governance. They provide essential services including children's protection and preparation for learning, transportation programs, and neighborhood safety initiatives. Regular public meetings are held on the 1st and 3rd Wednesdays to discuss county business. The office upholds values such as fiscal prudence, integrity, and transparency, and seeks to enhance the quality of life for all residents by delivering courteous and effective service."
Fulton,Government Agency,Fulton County Commissioners Office,https://www.co.fulton.pa.us/commissioners.php,(717) 485-3691,"116 West Market StreetSuite 203McConnellsburg, PA 17233","The Fulton County Commissioners Office, located at 116 West Market Street, McConnellsburg, PA, serves as the governing body for Fulton County. Comprised of Chair Randy H. Bunch, Vice-Chair Steven L. Wible, and Hervey P. Hann, the office oversees various county services, including human services, veterans' services, and emergency management. Public meetings are held every Tuesday at 8:30 AM, providing a platform for community engagement and feedback. The office also supports project development under its authority and manages important local governance matters, ensuring responsible management of public resources and services."
Juniata,Government Agency,Juniata County Commissioners Office,https://www.juniataco.org/elected-officials/commissioners/,(717) 436-7700,"The Bousum Building26 N. Main StreetMifflintown, PA 17059","The Juniata County Commissioners Office, located in The Bousum Building, Mifflintown, PA, oversees various community services including Human Services, Emergency Management, and Food Assistance. It administers programs such as the Emergency Food and Shelter Program and the Homeless Assistance Program, providing critical support for low-income residents. The office hosts weekly public meetings where community members can participate virtually, fostering engagement in local governance and resource allocation. Through collaboration with regional organizations, it aims to address the needs of its citizens effectively while promoting community well-being and development."
Sullivan,Government Agency,Sullivan County Commissioners Office,https://www.sullivancountypa.gov/commissioners,(570) 946-5201,"245 Muncy StreetPO Box 157Laporte, PA 18686","The Sullivan County Commissioners Office in Laporte, PA, provides a range of services related to human services and veteran affairs, including mental health resources. It acts as a hub for various county services, such as the Area Agency on Aging, Children & Youth services, and the Department of Drug and Alcohol Programs. The office also oversees community resources like victim services to support individuals facing mental health challenges. They are dedicated to fostering a healthy community through access to essential services and programs designed to address mental health and well-being."
Bucks,Outpatient Behavioral Health Center,Lower Bucks Wellness,https://lowerbuckswellness.com/,(267) 352-3730,"601 New Britain RoadBuilding 100Doylestown, PA 18901","Lower Bucks Wellness, located in Doylestown, PA, offers a holistic approach to mental health and wellness. They provide personalized services including ADHD and genetic testing, IV and intramuscular ketamine therapy, psychiatric evaluations, and psychotherapy for individuals aged 8 and up. Specialized groups for postpartum depression and dialectical behavioral therapy skills enhance their offerings. Their team of board-certified Psychiatric Nurse Practitioners and Psychotherapists focuses on nurturing the mind, body, and spirit, fostering a compassionate, community-driven environment for client care. Lower Bucks Wellness aims to empower individuals on their journey to health and balance."
Dauphin,FEP Site,CAPSTONE,www.ppimhs.org/programs/capstone-program,(717) 782-4349,"401 Division StreetHarrisburg, PA 17110","CAPSTONE, located within the Pennsylvania Psychiatric Institute at 401 Division Street, Harrisburg, PA, specializes in mental health treatment for adults. The program focuses on individuals experiencing their first episode of psychosis, providing tailored support and therapeutic interventions. CAPSTONE is designed to address complex mental health needs, incorporating specialized programs such as Dialectical Behavioral Therapy (DBT) and treatment for older adults facing Dementia, including Alzheimer’s. The facility collaborates closely with healthcare professionals to ensure comprehensive care, fostering an environment conducive to recovery and personal growth."
Philadelphia,FEP Site,CHOP FEP,www.chop.edu/centers-programs/first-episode-psychosis-fep-program,(215) 590-7555,"4601 Market StreetSuite 3000Philadelphia, PA 19139","CHOP FEP (First Episode Psychosis Program) is part of the Center for Advanced Behavioral Healthcare at Children's Hospital of Philadelphia, located at 4601 Market Street. This program provides comprehensive assessments and treatment for children and adolescents experiencing their first episode of psychosis, offering multidisciplinary support from psychiatrists, psychologists, and therapists. CHOP focuses on evidence-based care, utilizing various therapeutic techniques tailored to individual needs. The center's approach emphasizes early intervention and family involvement to promote recovery and long-term mental well-being. It is designed to integrate seamlessly with other specialty services within the hospital."
Erie,Parent Organization Secondary Schools,Fort Leboeuf Middle School; PTO,,(814) 796-2681,"865 Cherry StreetWaterford, PA 16441","The Fort Leboeuf Middle School PTO provides essential mental health support and resources for students and families in the district. Their offerings include anxiety coping strategies, self-harm crisis resources, and guidance on discussing sensitive topics like suicide with children. The PTO collaborates with the IU5 Family Support Center to create a safe, judgment-free environment for parents and caregivers. Additional resources include video materials tailored for different age groups, ensuring comprehensive support for mental well-being within the school community."
Erie,Parent Organization Secondary Schools,Grandview Elementary School; PTA,https://www.mtsd.org/,(814) 836-6300,"4301 Lancaster RoadErie, PA 16506","Grandview Elementary School, located in Erie, PA, is part of the Millcreek Township School District and features a Parent-Teacher Association (PTA) dedicated to enhancing the educational experience for students. The PTA organizes various activities and programs that promote student engagement, mental health awareness, and family involvement in the school community. They collaborate with school staff to support academic achievement and student well-being, offering resources for families, including anxiety training and access to health services. Additionally, the school emphasizes a nurturing environment that caters to diverse learning needs through specialized programs and support systems."
Erie,Parent Organization Secondary Schools,Grover Cleveland Elementary School; PTSA,https://www.eriesd.org/Page/1,(814) 874-6670,"1540 W. 38th St.Erie, PA 16508","Grover Cleveland Elementary School's PTSA is dedicated to fostering a supportive community for students and families in Erie, PA. The organization focuses on enhancing educational experiences through various programs, engagement initiatives, and resources aimed at addressing student wellness and success. By promoting collaboration between families and the school, the PTSA seeks to create a nurturing environment that supports academic achievement and mental health awareness. Activities include fundraising, events, and opportunities for parental involvement, emphasizing the importance of a united community in supporting children's education and overall well-being."
Delaware,Parent Organization Secondary Schools,Garnet Valley Elementary School; HSA,https://www.garnetvalleyschools.com/gves,(610) 579-4150,"559 Smithbridge RoadGlen Mills, PA 19342","Garnet Valley Elementary School, located in Glen Mills, PA, offers a supportive educational environment for students, featuring a dedicated Home and School Association (HSA) that promotes community engagement and parental involvement. With a student-teacher ratio of 11:1, high-quality instruction is ensured by PA Certified Teachers. The school focuses on comprehensive student development, providing resources for special education and student services, as well as various extracurricular activities, fostering a well-rounded educational experience. Regular communication and events enhance parent-school collaboration, aiming to support both academic and emotional well-being of students."
Erie,Parent Organization Secondary Schools,Joanna Connell Elementary School; PTO,https://www.eriesd.org/Page/1,(814) 874-6785,"1820 East 38th StreetErie, PA 16510","The Joanna Connell Elementary School PTO in Erie, PA, focuses on enhancing the educational experience for students through community engagement and parental involvement. This organization supports various initiatives, including fundraising for school programs, organizing events that foster a strong school community, and amplifying the voices of parents in school governance. The PTO strives to create a nurturing environment for children and collaborates with educators to promote academic excellence and emotional well-being in the student body."
Erie,Parent Organization Secondary Schools,McDowell Intermediate High School; PTO,https://www.mtsd.org/,(814) 835-5487,"3320 Caughey RoadErie, PA 16506","McDowell Intermediate High School's Parent-Teacher Organization (PTO) supports student well-being through various initiatives focused on mental health and educational resources. Located in Erie, PA, the PTO fosters community engagement, providing platforms for parents and teachers to collaborate. They advocate for student services, including counseling and support programs, and organize events that promote school spirit and positive behavior. The group aims to enhance students’ academic and social environments, ensuring they have access to the necessary tools for personal growth and resilience."
Erie,Parent Organization Secondary Schools,McKean Elementary School; PTA,,(814) 273-1033 Ext: 4900,"5120 West RoadMcKean, PA 16426","The McKean Elementary School PTA fosters a supportive community emphasizing collaboration between parents and staff to enhance student well-being. The PTA organizes events and activities designed to enrich the educational experience, promote communication, and address student needs through initiatives like the Student Assistance Fund. Committed to celebrating diversity, the PTA encourages parental involvement, facilitating open dialogue about students' progress and challenges, thereby ensuring every child feels valued and supported in their educational journey."
Bucks,Parent Organization Secondary Schools,Oak Ridge Elementary School; HSA,https://oakridge.soudertonsd.org/,(215) 256-6633,"465 Moyer RoadHarleysville, PA 19438","Oak Ridge Elementary School, located in Harleysville, PA, fosters a caring learning environment for K-5 students. Focused on academic excellence, it offers a comprehensive curriculum, including art, computer science, wellness, and special education services. The school engages families through the Home & School Association, organizing events, enriching activities, and providing a connection to school life. Notable initiatives include therapy dog programs, character education, and community involvement projects. Regular assemblies and after-school programs promote a sense of community and support students' social-emotional development while encouraging parental participation."
Erie,Parent Organization Secondary Schools,Chestnut Hill Elementary School; PTA,https://www.mtsd.org/,(814) 835-5550,"1001 West 54th StreetErie, PA 16509","Chestnut Hill Elementary School's PTA plays a crucial role in enhancing student well-being and academic success through community involvement and support. Located in Erie, PA, the PTA organizes events and programs to encourage parent engagement and foster a supportive school environment. It emphasizes mental health awareness, offers resources for families, and collaborates with school psychologists and counselors to address student emotional needs. The PTA also provides volunteer opportunities, aiming to build a strong community network that promotes positive behavior and empowers students throughout their educational journey."
Delaware,Parent Organization Secondary Schools,Coopertown Elementary School; PTO,https://www.haverford.k12.pa.us/,(610) 853-5900 Ext: 3000,"800 Coopertown RoadBryn Mawr, PA 19010","Coopertown Elementary School's PTO supports students' social-emotional well-being and academic success through various programs and community engagement activities. They foster collaboration among parents, teachers, and the community, organizing events that enhance student experiences and provide resources for families. The PTO also focuses on promoting diversity and inclusion initiatives, creating a welcoming environment for all families, alongside providing additional support for mental health resources and educational access. Their mission is to empower parents to be actively involved in their children's education and overall school community."
Erie,Parent Organization Secondary Schools,James W. Parker Middle School; PTSA,,(814) 273-1033 Ext: 2900,"11781 Edinboro RoadEdinboro, PA 16412","James W. Parker Middle School, part of the General McLane School District, serves approximately 750 students in grades 5-8. The school emphasizes student support through its Guidance Department and Health Services. It promotes mental wellness initiatives, such as the Safe2Say Something program, which encourages students to report any concerns anonymously. With a dedicated staff of around 60 professionals, the school fosters a supportive environment for students and families, offering various educational and extracurricular opportunities that promote overall development and community engagement. Follow on social media for updates and school pride activities."
Erie,Parent Organization Secondary Schools,Strong Vincent Middle School; PTSA,https://www.eriesd.org/Page/1,(814) 874-6500,"1330 West 8th StreetErie, PA 16502","Strong Vincent Middle School; PTSA, located at 1330 West 8th Street, Erie, PA, actively fosters a supportive community for students and families. The Parent-Teacher-Student Association (PTSA) collaborates with the school to enhance educational opportunities and provide mental health resources. They focus on empowering families, promoting student wellbeing, and encouraging academic achievement. The PTSA organizes events and activities that facilitate parent engagement and contribute to a positive school environment, aiming to ensure that every student receives the support they need to thrive both academically and emotionally."
Erie,Parent Organization Secondary Schools,Tracy Elementary School; PTA,https://www.mtsd.org/     https://www.facebook.com/tracyschoolpta/,(814) 835-5800,"2624 West 6th StreetErie, PA 16505","Tracy Elementary School in Erie, PA, serves approximately 500 students from Kindergarten through 5th grade. It emphasizes respect, responsibility, and kindness through its Tracy Tiger Traits program, which promotes a positive school environment. The school offers a variety of learning opportunities, including differentiated instruction, special education classrooms, and support for multi-language learners. Recognized as a Tier 1 school by the state for its behavior support programs, Tracy Elementary is dedicated to fostering well-rounded students with a robust Multi-Tiered System of Supports (MTSS). Engaging community events further enhance the learning experience for families."
Erie,Parent Organization Secondary Schools,Walnut Creek Middle School; PTA,https://www.mtsd.org/,(814) 835-5700,"5901 Sterrettania RoadFairview, PA 16415","Walnut Creek Middle School's PTA is dedicated to enhancing the educational experience of students through community engagement and support. Located in Fairview, PA, the PTA organizes events that promote mental wellness, including anxiety training, and facilitates communication between parents and the school. They provide resources for families, such as access to health services and student support systems, including guidance counselors and school psychologists. The PTA's commitment to fostering a supportive environment ensures that students receive both academic and emotional assistance, paving the way for their overall development and well-being."
Lehigh,Parent Organization Secondary Schools,Macungie Elementary School; PTO,https://www.eastpennsd.org/,(610) 965-1617,"4062 Brookside RoadMacungie, PA 18062","Macungie Elementary School's Parent-Teacher Organization (PTO) fosters a collaborative environment where parents and educators work together to enhance the educational experience. The PTO organizes events, fundraising activities, and community initiatives that support students’ academic and social growth. This resource promotes parental involvement and strengthens the school community, offering opportunities for parents to connect and contribute to their children’s education at Macungie Elementary."
Westmoreland,Private Psychiatry Practice,Speeney Psychiatric Services,speenypsych.com,(240) 803-2499,"PO Box 251Pleasant Unity, PA 15676","Speeney Psychiatric Services, located in Pleasant Unity, PA, offers a compassionate and individualized approach to mental health care. Led by Nick Speeney, a board-certified psychiatric-mental health nurse practitioner with over a decade of experience, the clinic provides psychiatric evaluations, medication management, and tailored therapy sessions to address diverse needs. Telemedicine services are available for adults in Pennsylvania, with options for self-pay and insurance acceptance. Speeney Psychiatric Services emphasizes a collaborative treatment plan aimed at helping individuals achieve their highest potential and overall wellness."
