service,description,url,phone,url_phone,address,action
7 Cups of Tea,"7 Cups of Tea provides free online chat support with trained volunteer listeners available 24/7 for emotional support, as well as online therapy services for those aged 18 and older, starting at $33/week. The service is anonymous and aimed at helping individuals feel heard and cared for.

Location: Counseling and Prevention Services, Eickhoff Hall, Room 107, The College of New Jersey, 2000 Pennington Rd., Ewing, NJ 08628. 

Hours: Monday to Thursday, 8:30 a.m. – 4:30 p.m.; Friday, 8:30 a.m. – 4:00 p.m.; Closed on Saturday and Sunday. Emergency services are available for urgent needs outside these hours.

Requirements: Online support is available to anyone, while online therapy requires users to be 18 or older and may have a cost associated with it.",https://caps.tcnj.edu/resources/self-help-resources/7-cups-of-tea/,,https://www.7cups.com/BrowseListeners/,"Eickhoff Hall, Room 107  
The College of New Jersey  
P.O. Box 7718  
2000 Pennington Rd.  
Ewing, NJ 08628",Visit 7 Cups of Tea to access free online chat support with trained listeners.
A Place For Us Atlantic County Women's Center - Linwood,"The Aks Foundation is a registered NGO based in Pune, India, established in 2008, which focuses on supporting victims of gender-based violence, domestic violence, and sexual assault. They operate a 24/7 crisis line at +91 8793 088 814, providing emotional and logistical support to victims. The foundation also offers legal counsel, corporate awareness programs, and community education initiatives related to gender sensitivity. There are no specific entry requirements mentioned, but they encourage community involvement through volunteering, donations, and participation in workshops.",https://aksfoundation.org/,8793088814,https://aksfoundation.org/,,Call the 24/7 Crisis Line at +91 8793 088 814 for support if you or someone you know is experiencing abuse.
A Better Tomorrow Counseling Service,"A Better Tomorrow Counseling Services is located in Turnersville, NJ, offering both in-office and telehealth appointments. They provide a variety of counseling services for individuals, families, couples, and children, addressing issues such as ADHD, anxiety, depression, PTSD, grief, and more. Their therapy techniques include EMDR, EFT, CBT, and DBT, among others. They are open for daytime and evening appointments, accepting most insurance plans. For inquiries or to schedule an appointment, contact them at 856-266-4983 or info@abettertomorrowcounselingservices.com.",https://abettertomorrowcounselingservices.com/,8562664983,https://abettertomorrowcounselingservices.com/,,Call 856-266-4983 to schedule an appointment.
A WAY TO HOPE,"Our Way to H.O.P.E. is a nonprofit organization based in Paterson, NJ, dedicated to assisting families affected by domestic violence and financial hardship. They focus on supporting the community through various events, including a Back to School Bookbag Drive in August, a Thanksgiving Baskets Giveaway in November, and an Annual Christmas Celebration in December. The organization was founded in December 2015 and aims to help those in need feel supported and valued. 

The Paterson Great Falls 5k event is scheduled for September 1, 2025, from 8:30 AM to 12:30 PM, located at The Paterson Museum, 2 Market St, Paterson, NJ 07501, USA. 

For more information or to get involved, you can contact them at 862-600-3932 or visit their location at 270 East 32nd Street, Paterson, NJ 07504.",https://www.ourwaytohope.org/,8626003932,https://www.ourwaytohope.org/,"270 East 32nd Street Paterson, NJ 07504",Register for the Paterson Great Falls 5k event.
A Place to Call Home,"A Place to Call Home, operated by Acenda, is a recovery-focused independent transitional living program located at 42 Delsea Drive South, Glassboro, NJ 08028, serving women statewide who are 18 years or older. The program provides safe, supportive, and sober housing for expectant and postpartum women overcoming opioid and other substance addictions, offering services such as parenting support, vocational counseling, and peer recovery support. Residents can stay for 3-6 months and are served on a first-come, first-served basis, accommodating up to 10 women and their children at a time. To enroll, interested individuals can call 844-422-3632 ext 9500.",https://acendahealth.org/programs/a-place-to-call-home/,8444223632,https://acendahealth.org/programs/a-place-to-call-home/,"42 Delsea Drive South, Glassboro, NJ 08028",Call 844-422-3632 ext 9500 to enroll in the program.
A's Attic Thrift Store,I'm unable to access the specific content of the website due to an error. Please provide the relevant information or details you'd like summarized.,https://cspnj.my.site.com/countydatabase/s/resource/a1S4N00000772JWUAY/as-attic-thrift-store?nocache=https%3A%2F%2Fcspnj.my.site.com%2Fcountydatabase%2Fs%2Fresource%2Fa1S4N00000772JWUAY%2Fas-attic-thrift-store,"```plaintext
```",https://cspnj.my.site.com/countydatabase/s/resource/a1S4N00000772JWUAY/as-attic-thrift-store?nocache=https%3A%2F%2Fcspnj.my.site.com%2Fcountydatabase%2Fs%2Fresource%2Fa1S4N00000772JWUAY%2Fas-attic-thrift-store,,Refresh the page.
AA Speaker,"The website provides a notification that the user's browser is no longer supported and recommends updating to the latest versions of Microsoft Edge, Google Chrome, Mozilla Firefox, Opera, or Safari for an optimal YouTube experience. There are no specific location or hours mentioned, as this resource pertains to software rather than a physical location. The requirement is to update the browser for improved functionality on the platform.",https://www.youtube.com/watch?v=RCazA-nk-sg,9086878566,https://www.nnjaa.org/intergroup/meeting-finder.html,"""""",Update your browser to the latest version.
AA Inter Group,"Northern New Jersey AA provides support for individuals wanting to stop drinking. They can be reached at 1-908-687-8566, available 24 hours a day, 7 days a week. The website offers a list of local Alcoholics Anonymous meetings and resources in both English and Spanish. There are options to submit updated meeting information and access additional information about AA and GSR (Group Service Representative) information.",https://www.nnjaa.org/,19086878566,https://www.nnjaa.org/,"``` 
```",Call 1-908-687-8566 for assistance.
Absolute Awakening,,,9733975173,https://www.psychologytoday.com/us/treatment-rehab/absolute-awakenings-treatment-center-denville-nj/810933,,
"Aaron C Vanhise, DO","Aaron C. VanHise, DO, is part of Garden State Heart Care, located at 831 Tennent Road, Manalapan, NJ 07726. The practice offers cardiology services such as cardiac catheterization, echocardiograms, electrocardiograms, Holter monitoring, pacemakers, and stress tests. They treat various heart conditions including carotid stenosis, venous disease, and coronary artery disease.

Office hours and appointments can be arranged through their patient portal. Additional locations include Old Bridge, NJ, and Jackson, NJ, with respective contact numbers for each office. Requirements for services may include registration and scheduling an appointment through the patient portal.",https://www.gardenstateheartcare.com/aaron-c-vanhise-do%EF%BB%BF/,,,"831 Tennent Road, Manalapan NJ 07726",Visit the Patient Portal to schedule an appointment.
Access Link Disability Transportation,"Access Link is NJ TRANSIT’s ADA paratransit service for individuals with disabilities who cannot use the local bus and light rail systems. Service is available during the same days and hours as local bus routes, including weekends and holidays. 

Operating hours:
- General service hours: Comparable to local bus hours.
- Certification: Monday - Friday, 8:30 AM to 5:00 PM (excluding holidays).
- Next Day Reservations: Daily, 7:30 AM to 4:00 PM.
- Future Reservations: Daily, 7:30 AM to 3:00 PM.
- Customer Service: Monday - Friday, 8:00 AM to 4:00 PM.
- Ride cancellations: Daily, 5:00 AM to 10:00 PM. 

To use Access Link, an interview is required to establish eligibility. Riders can reserve rides by calling 973-491-4224 or using the Access Link mobile app. Fares apply and are based on local bus rates. Personal Care Attendants can ride for free if accompanying a customer, and children under five can ride for free with a paying customer. 

For more information and to make reservations, visit the Access Link website at accesslink.njtransit.com.",https://www.njtransit.com/accessibility/access-link-ada-paratransit,9734914224,https://www.njtransit.com/accessibility/access-link-ada-paratransit,"2 Gateway, 283-299 Market Street, Newark, New Jersey 07102",Download the Access Link mobile app for making reservations and managing your account.
Acenda Integrated Health,"Acenda is a nonprofit organization based in Glassboro, New Jersey, dedicated to empowering individuals and families through over 100 life-enhancing programs and services. Their mission focuses on providing mental health support and parenting assistance, aiming to help people thrive and reach their potential. They are open to all ages and emphasize a compassionate, mission-driven approach. Specific hours of operation aren't listed, but interested individuals can contact them at 844-4-ACENDA for more information. Acenda is accredited by The Joint Commission, ensuring a commitment to safety and quality of care.",https://acendahealth.org/,8444223632,https://acendahealth.org/contact-us/,"42 Delsea Drive South, Glassboro, NJ 08028","Visit the ""Find Care & Services"" section on the Acenda website to explore the programs and services available."
Acenda Intergrated Health,"Acenda, located at 42 Delsea Drive South, Glassboro, NJ 08028, offers over 100 programs and services aimed at empowering individuals, families, and communities to thrive. The organization provides mental health support, parenting assistance, and various wellness services. Acenda emphasizes a compassionate, mission-driven approach to care, catering to diverse needs across all age groups. The center operates under the accreditation of The Joint Commission, ensuring safety and quality of care. For inquiries, the contact number is 844-4-ACENDA. Specific hours of operation are not provided on the website.",https://acendahealth.org/,8444223632,https://acendahealth.org/contact-us/,"42 Delsea Drive South, Glassboro, NJ 08028",Find care and services that suit your needs.
Access Medical Associates,"Access Medical Associates is located at 3322 Route 22 West, Branchburg, NJ 08876. Their office hours are Monday to Friday from 8:00 AM to 8:00 PM, and Saturday to Sunday from 8:00 AM to 4:00 PM. Appointments are not necessary for services such as urgent care, family medicine, and wellness checks. They offer various services including flu vaccinations, COVID-19 testing, and weight management support. For your first visit, it is recommended to review tips for new patients.",https://www.accessmedicalassoc.com/,9087040100,https://www.accessmedicalassoc.com/,"3322 Route 22 West, Branchburg, NJ 08876",Call (908) 704-0100 to schedule an appointment or inquire about services.
Acenda Intergrated Health,"Acenda is a nonprofit organization located at 42 Delsea Drive South, Glassboro, NJ 08028. They offer over 100 programs and services designed to support individuals and families, focusing on mental health, parenting, and community wellness. Acenda emphasizes a mission-driven, compassionate approach to empower people of all ages. They invite individuals to explore care options and join their team. For contact, you can call 844-4-ACENDA. Specific hours of operation are not mentioned on the site.",https://acendahealth.org/,8444223632,https://acendahealth.org/contact-us/,"42 Delsea Drive South, Glassboro, NJ 08028","Visit the ""Find Care & Services"" section on the Acenda website to explore available programs and services."
Achieve Physical Therapy,"Achieve Physical Therapy is located at 1700 NJ-23 Suite 110, Wayne, NJ 07470, and also has a location at 9 Whippany Rd, Unit 9, Whippany, NJ 07981. The business offers a range of physical therapy services, including pelvic floor therapy, and emphasizes individualized care. They provide free 15-minute consultation calls with Doctors of Physical Therapy, and visitors can sign up for a monthly health tips newsletter. For additional information, they can be contacted at (973) 846-1244. Hours of operation are not specified on the website.",https://www.achieveptnj.com/,9738461244,https://www.achieveptnj.com/,"1700 NJ-23 suite 110, Wayne, NJ 07470",Book a Free 15min call with one of our Doctors of Physical Therapy.
Achieve Physical Therapy,"Achieve Physical Therapy has locations in Wayne, NJ at 1700 NJ-23 Suite 110, and in Whippany, NJ at 9 Whippany Rd, Unit 9. They provide personalized one-on-one physical therapy sessions with a focus on individual needs. Visitors can book a free 15-minute call with a Doctor of Physical Therapy to discuss their condition. For additional guidance, the website offers free special reports and a monthly newsletter. The business can be contacted at (973) 846-1244 for more information.",https://www.achieveptnj.com/,9738461244,https://www.achieveptnj.com/,"1700 NJ-23 suite 110, Wayne, NJ 07470",Book a Free 15min call with one of our Doctors of Physical Therapy.
Acme Savon Pharmacy,"ACME Markets Pharmacy has 47 locations throughout New Jersey. The pharmacies offer various services, including prescription refills, flu shots, and vaccinations. Specific operational hours may vary by location. There may be particular requirements for vaccinations, such as appointments or insurance information, but these details are typically provided at the individual pharmacy. To find a specific location, you can search by zip code or city.",https://local.pharmacy.acmemarkets.com/nj.html,,https://local.pharmacy.acmemarkets.com/nj.html,"""""",Search for a specific ACME Markets Pharmacy location by entering your zip code or city and state.
Active Day,,,,,,
Addiction Services,"ReachNJ is a 24/7 addiction helpline based in New Jersey that provides support for residents struggling with substance use disorders (SUD). Callers are connected with trained staff who can screen their needs and refer them to local treatment providers, regardless of insurance status or ability to pay. The helpline can be reached at 1-844-732-2465. There are no age restrictions, and the service is designed to connect individuals to necessary resources and information about addiction. ReachNJ is part of the New Jersey Department of Human Services, located at 222 South Warren Street, PO Box 700, Trenton, NJ 08625-0700.",https://www.nj.gov/humanservices/reachnj/,18447322465,https://www.nj.gov/humanservices/reachnj/,"222 South Warren Street, PO Box 700, Trenton, NJ 08625-0700",Call 1-844-REACHNJ to learn about your treatment options.
Addiction Services for Children,"ReachNJ is a 24/7 addiction helpline available to all New Jersey residents seeking assistance with substance use disorders. Calls are answered by live personnel within 30 seconds who provide support and referrals to local treatment providers, regardless of insurance status or ability to pay. The service is open to individuals of all ages. The helpline number is 1-844-732-2465.

Location: Trenton, NJ (Department of Human Services, 222 South Warren Street, PO Box 700, Trenton, NJ 08625-0700). 

Hours: 24/7 availability.

Requirements: Open to all New Jersey residents, no insurance or payment required.",https://www.nj.gov/humanservices/reachnj/,18447322465,https://www.nj.gov/humanservices/reachnj/,"222 South Warren Street  
PO Box 700  
Trenton, NJ 08625-0700",Call 1-844-732-2465 for assistance with substance use disorder.
Addiction Treatment Services,"The New Jersey Department of Human Services (DHS) Division of Mental Health and Addiction Services offers addiction treatment services for individuals seeking help with substance use disorders. Services include detoxification, outpatient care, and both short- and long-term residential treatment. Support for prevention, early intervention, and recovery is also available. A searchable directory helps locate treatment programs throughout the state by various criteria. 

Location: Services are available statewide in New Jersey.
Hours: Not explicitly stated.
Requirements: Individuals seeking treatment can contact their County Alcohol and Drug Abuse Director, and treatment services may be accessed through a Fee-For-Service Network as established by DMHAS.",https://nj.gov/humanservices/dmhas/resources/services/treatment/addictions.html,18447322465,https://www.nj.gov/humanservices/reachnj/,,Visit the searchable directory to locate programs for substance abuse treatment in New Jersey.
Addictions/Substance Use Disorder Support Groups,"ReachNJ is a central call-in helpline for New Jersey residents seeking assistance with substance use disorders (SUD). Calls are answered by live staff within 30 seconds, who screen callers for their needs and provide referrals to local treatment providers. The service is available to residents of all ages, regardless of insurance status or ability to pay.

Location: New Jersey (statewide)
Helpline: 1-844-732-2465
Hours: 24/7

No specific requirements are necessary to access the services.",https://www.nj.gov/humanservices/reachnj/,18447322465,https://www.nj.gov/humanservices/reachnj/,"222 South Warren Street, PO Box 700, Trenton, NJ 08625-0700",Call 1-844-REACHNJ for assistance with substance use disorder or to learn about treatment options.
Adelphi Orchestra,"The Adelphi Orchestra is based in River Edge, New Jersey, and offers a variety of classical music performances throughout its 72nd season. Upcoming concert locations include the Fair Lawn Community Center Theater and Broadway Presbyterian Church, both featuring various classical composers and artists. Upcoming events include ""Echoes of the Isles"" on October 11 and 12, 2025, ""Grace & Elegance"" on February 28 and March 1, 2026, and ""Soaring Melodies"" on May 10 and 16, 2026. All concerts are scheduled from 2:00 PM to 3:30 PM or 3:00 PM to 4:30 PM. Tickets and subscriptions are available for purchase. For more information, contact aoinfo@adelphiorchestra.org or call 201-477-0406.",https://www.adelphiorchestra.org/,2014770406,https://www.adelphiorchestra.org/contact-us-1,"650 Kinderkamack Rd, River Edge, NJ 07661","Purchase tickets for the upcoming ""Echoes of the Isles"" concert on October 11, 2025."
"Adriana Neumann, BA","Adriana Neumann, BCBA, LBS, MEd, serves as the Senior Director of ABA Clinical Services at NeurAbilities Healthcare, where she specializes in supervising and providing ABA therapy at their new treatment center in Bala Cynwyd, PA. NeurAbilities Healthcare offers a variety of services including behavioral, medical, developmental, and psychological services across multiple locations in New Jersey and Pennsylvania. 

To access services, patients may need to make an appointment by calling 856-346-0005. Specific hours of operation are not listed on the website. It is advised to inquire about requirements during the appointment request. NeurAbilities emphasizes its commitment to providing care with compassion and respect, aiming to empower clients and their families.",https://neurabilities.com/our-team/staff-bio-adriana-neumann-bcba-lbs-med/,,,"Bala Cynwyd, PA",Call 856-346-0005 to request services.
Adichunchanagiri Cultural and Spiritual Foundation of USA,"The Adichunchanagiri Cultural and Spiritual Foundation of USA (ACSF-USA) is located in New Jersey and is dedicated to promoting the cultural and spiritual heritage of Sanatana Dharma (Hinduism) in the United States. The foundation offers a range of programs and events focused on spiritual growth, intercultural dialogue, and holistic well-being, including yoga, meditation, and cultural activities. 

The foundation is in the process of constructing the Sri Kalabhairaveshwara Swamy Temple, which will include significant architectural features and multipurpose facilities. The temple complex will encompass various deities, prayer halls, classrooms, a dining hall, and administrative spaces, with adequate parking for visitors.

Hours of operation are not specified on the website. There may be participation requirements for joining programs or events, which would typically involve submitting personal details for communication and connection.",https://acsfusa.org/proposal/,,https://acsfusa.org/proposal/,,Join the Sri Math Community by submitting your details on their website.
Adult Rehabilitation Center,"The Salvation Army offers a comprehensive range of services designed to support individuals facing various challenges, including substance abuse, homelessness, hunger, and domestic violence, among others. Their Recovery programs focus on physical, emotional, and spiritual well-being, primarily through 180-day residential work-therapy programs at Adult Rehabilitation Centers, which are typically free of charge after assessment.

Requirements for participation include being an adult aged 21-65, passing a drug test and breathalyzer, being able to work a maximum of eight hours per day, and agreeing to participate in all program activities. Additional services include outpatient treatment, employment assistance, anger management, and family counseling, with programs varying by location.

Details about specific locations and hours are not provided, but individuals are encouraged to find local centers through their website. The organization promotes volunteer opportunities and accepting donations to support their mission.",https://www.salvationarmyusa.org/recovery/,8007287825,https://trentonarc.salvationarmy.org/trentonarc/get-help/,"""""",Contact your local Salvation Army to learn more about available recovery programs and services.
Advance Counseling,"Advanced Counseling Services, LLC offers individualized outpatient psychological care for various mental health disorders. Located in New Jersey, their operating hours are Monday to Friday from 9 AM to 5 PM, with limited evening and weekend appointments available. They provide services such as therapy for depression, anxiety, trauma, PTSD, substance use, and life stressors. Clients can expect personalized appointment experiences. Email communication is preferred for inquiries due to high call volume.",https://advancedcounselingnj.com/,2019493123,https://www.psychologytoday.com/us/therapists/advance-counseling-center-paramus-nj/261737,"``` 
```
",Email therapy@advancedcounselingnj.com to book an appointment.
Advance Housing,"Advance Housing provides various services aimed at supporting individuals in need, focusing on counseling, community support, and housing services. While the specific location and hours of operation are not mentioned, interested individuals can access more information about their offerings or get in touch through the website. There may be requirements for using their services, which are not specified in the summary.",https://advancehousing.org/,2014989140,https://advancehousing.org/contact-us/,"""""","Visit the ""Our Services"" section to explore available programs and support options."
Advanced Physical Therapy,"Advanced Care Physical Therapy has locations in Milltown and Edison, NJ, providing a wide range of therapy services, including physical, occupational, and massage therapy. The Milltown clinic is located at 228 Ryders Lane, and the Edison clinic is at 976 Inman Ave. 

Hours of operation are not specified, but patients can request appointments via their website or by calling Milltown at (732) 246-3585 and Edison at (908) 546-7616. 

No specific requirements for treatment are listed, but the facility appears to take a holistic approach to therapy, focusing on both physical and emotional well-being. Services include treatment for various conditions such as back pain, sports injuries, arthritis, and more. Additionally, they offer complimentary transportation to assist patients in getting to their appointments.",https://advancedcaretherapy.com/,8567284100,https://www.advancedphysicaltherapyofsj.com/sicklerville,"Edison, NJ 08820  
Milltown, NJ 08850  
Heritage Plaza 228 Ryders Lane  
Inman Square 976 Inman Ave  ",Request an appointment.
Adventures For Women,"Adventures for Women (AFW) is a non-profit organization based in Midland Park, NJ, dedicated to providing outdoor adventures and camaraderie exclusively for women aged 18 and older. Their mission is to empower women through outdoor activities, learning new skills, and building friendships. AFW offers a variety of events such as hiking and volunteering opportunities, with a calendar view available on their website for upcoming activities. 

Membership options are available, and registration for events typically opens three weeks in advance. Participants can register online and are encouraged to check back for available spots if events are full. The organization emphasizes safety and environmental awareness among participants. 

For more information, AFW can be reached at 201-371-3089 or via email at info@adventuresforwomen.org.",https://www.adventuresforwomen.org/,2013713089,https://www.adventuresforwomen.org/contact-us,"Adventures For Women  
P.O. Box 75  
Midland Park, NJ 07432",Join Adventures For Women (AFW) by selecting a membership plan.
Advanced Physical Therapy,"Advanced Care Physical Therapy operates clinics in Milltown and Edison, NJ, offering a range of services including physical therapy, occupational therapy, and massage therapy. They treat various conditions such as back pain, neck pain, sciatica, sports injuries, arthritis, and chronic pain. 

The Milltown location is at Heritage Plaza, 228 Ryders Lane, Milltown, NJ 08850, with the phone number (732) 246-3585. The Edison location is at Inman Square, 976 Inman Ave, Edison, NJ 08820, reachable at (908) 546-7616. 

Both locations offer personalized, one-on-one treatment and complimentary transportation for patients. For new patients, appointments can be requested online or by calling. The clinics aim to provide immediate and effective care to help patients return to their daily activities. 

Hours of operation were not explicitly stated on the website.",https://advancedcaretherapy.com/,8567284100,https://www.advancedphysicaltherapyofsj.com/sicklerville,"Milltown: 228 Ryders Lane, Milltown, NJ 08850  
Edison: 976 Inman Ave, Edison, NJ 08820",Request an appointment.
Acenda Intergrated Health,"Acenda is a nonprofit organization located at 42 Delsea Drive South, Glassboro, NJ 08028. They provide over 100 programs and services aimed at empowering individuals and families of all ages to thrive. Their services include counseling, wellness support, and in-home visiting programs for new parents. The organization emphasizes a mission-driven approach focused on community well-being. For further information or assistance, you can contact them at 844-4-ACENDA. Specific hours of operation are not listed on the website. They encourage individuals to reach out for care or explore career opportunities within their team.",https://acendahealth.org/,8444223632,https://acendahealth.org/contact-us/,"42 Delsea Drive South, Glassboro, NJ 08028","Visit the ""Find Care & Services"" section on Acenda's website to explore the available programs and support options."
Advocates for Children of New Jersey (ACNJ,"Advocates for Children of New Jersey (ACNJ) is located at 35 Halsey Street, Newark, NJ 07102. Their hours of operation are not explicitly listed on the website. ACNJ works to advocate for the rights and needs of children in New Jersey, focusing on various issues such as child health, education, and family support. They offer resources for families, promote awareness through initiatives like #NJVotes4Kids, and provide ways for community members to get involved, including joining advocacy efforts and parent councils. Contact them at 973.643.3876 or via email at advocates@acnj.org for more information or assistance.",https://acnj.org/,9736433876,https://acnj.org/about-us/contact-acnj/,"P.O. Box 32069  
35 Halsey Street  
Newark, NJ 07102",Sign the petition to stop Medicaid cuts.
Affordable Housing Alliance,,,,,,
Affordable Housing Alliance - Tom River,,,,,,
Agape House,,,,,,
Agape House,,,,,,
ALA CALL/Substance Abuse,"ReachNJ is a statewide helpline in New Jersey dedicated to assisting residents with substance use disorders. The service is available 24/7, with calls answered by trained staff within 30 seconds. It offers screening, referrals to supportive services, and connections to local treatment providers, regardless of the caller's insurance status or ability to pay. To access help, individuals can call 1-844-732-2465. ReachNJ serves all ages and provides resources for both individuals seeking help and their loved ones. The program is part of the New Jersey Department of Human Services, located at 222 South Warren Street, PO Box 700, Trenton, NJ 08625-0700.",https://www.nj.gov/humanservices/reachnj/,18442762777,https://nj.gov/humanservices/dmhas/home/hotlines/index.html,"222 South Warren Street  
PO Box 700  
Trenton, NJ 08625-0700",Call 1-844-REACHNJ to learn about your treatment options.
Alcoholics Anonymous (Phone meetings),"The Alcoholics Anonymous (A.A.) website provides resources for those seeking help with alcohol-related issues. It does not contain a meeting finder directly but encourages users to contact local A.A. resources for meeting information. The website also offers a Meeting Guide app available on iOS and Android, providing access to A.A. meetings and resources. A.A. operates worldwide and provides support anonymously. The website does not have set hours, as it is accessible online anytime. Users are typically required to attend meetings in person or participate in online groups but must seek out specific meeting details through local coordinates or the app.",https://www.aa.org/find-aa,,https://www.aa.org/find-aa,,Contact one of the A.A. resources listed on the website to find a meeting near you.
Alcyon Park,"Alcyon Lake Park is located at 10 West Holly Avenue, Pitman, NJ. The park is open daily from dawn to dusk and allows dogs on a leash. Access is available via a parking area or walk-in access from Carr Avenue. The park features baseball, football, and soccer fields, as well as a picnic pavilion, tables, benches, a viewing platform, and a boat ramp. It is a scenic neighborhood park with picnic areas, walking trails, a butterfly garden, and wildlife observation opportunities. Visitors can enjoy various seasonal wildlife activities throughout the year. Public transportation is accessible via multiple New Jersey Transit bus lines, with walking distances generally under a mile.",https://njaudubon.org/wp-content/wildlife/PineBarrensTrails/Sites/tabid/1698/Scope/site/Guide/PINEBARREN/Site/315/Default.html,,,"10 West Holly Avenue, Pitman, NJ",Plan a visit to Alcyon Lake Park and explore the trails and wildlife.
