,Dimension,Resource Name,Description,URL,Phone,combined,Location
28,physical,National Fitness Campaign,Promotes active lifestyles through community fitness initiatives and provides resources for building outdoor fitness parks.,https://nationalfitnesscampaign.com,,National Fitness Campaign https://nationalfitnesscampaign.com,Nationwide
29,physical,American Council on Exercise (ACE),ACE provides certification for fitness professionals and offers resources and educational materials on health and fitness.,https://www.acefitness.org,,American Council on Exercise (ACE) https://www.acefitness.org,Nationwide
30,physical,National Institute on Aging (NIA),"NIA provides resources specifically for older adults, focusing on exercise, healthy eating, and maintaining physical wellness as we age.",https://www.nia.nih.gov,,National Institute on Aging (NIA) https://www.nia.nih.gov,Nationwide
31,physical,Go4Life,A program from the NIA promoting exercise and physical activity as a way to stay healthy and active in older age.,https://go4life.nia.nih.gov,,Go4Life https://go4life.nia.nih.gov,Nationwide
32,physical,National Park Service (NPS),"Offers resources for outdoor physical activities such as hiking, biking, and more across national parks throughout the US.",https://www.nps.gov,,National Park Service (NPS) https://www.nps.gov,Nationwide
33,physical,Let’s Move!,An initiative aimed at promoting physical activity and healthy eating for children and families across the nation.,https://letsmove.obamawhitehouse.archives.gov,,Let’s Move! https://letsmove.obamawhitehouse.archives.gov,Nationwide
34,physical,MyFitnessPal,"A mobile app and website that helps users track food intake and exercise, promoting overall physical wellness and healthy habits.",https://www.myfitnesspal.com,,MyFitnessPal https://www.myfitnesspal.com,Nationwide
35,physical,Fitbit,"Provides fitness tracking devices and an app to monitor physical activity, sleep, and nutrition for better health management.",https://www.fitbit.com,,Fitbit https://www.fitbit.com,Nationwide
36,physical,SparkPeople,"An online community offering fitness tracking, meal plans, and motivational resources for individuals seeking to improve their wellness.",https://www.sparkpeople.com,,SparkPeople https://www.sparkpeople.com,Nationwide
37,physical,Couch to 5K,A popular running program that helps beginners gradually increase their running ability to complete a 5K road race.,https://www.c25k.com,,Couch to 5K https://www.c25k.com,Nationwide
38,physical,Zocdoc,"An online service that helps users find healthcare providers and book appointments, including those related to physical wellness.",https://www.zocdoc.com,,Zocdoc https://www.zocdoc.com,Nationwide
39,physical,Healthline,"Offers a wealth of articles, guides, and resources on health topics, including exercise, nutrition, and wellness tips.",https://www.healthline.com,,Healthline https://www.healthline.com,Nationwide
40,physical,MedlinePlus,"A service of the National Library of Medicine providing resources on health topics, including physical wellness and exercise.",https://medlineplus.gov,,MedlinePlus https://medlineplus.gov,Nationwide
41,physical,Verywell Fit,"Provides articles, tips, and resources on fitness, nutrition, and overall physical wellness for a healthy lifestyle.",https://www.verywellfit.com,,Verywell Fit https://www.verywellfit.com,Nationwide
42,physical,Online Fitness Programs (Beachbody),Offers a variety of online fitness programs and workouts to help individuals achieve their fitness goals from home.,https://www.beachbody.com,,Online Fitness Programs (Beachbody) https://www.beachbody.com,Nationwide
43,physical,AARP Fitness,Provides resources and information on fitness programs and activities tailored for older adults to maintain physical wellness.,https://www.aarp.org,,AARP Fitness https://www.aarp.org,Nationwide
44,physical,SparkPeople,"An online resource offering tools for tracking nutrition and exercise, along with community support for wellness.",https://www.sparkpeople.com,,SparkPeople https://www.sparkpeople.com,Nationwide
45,physical,The Mayo Clinic,"Offers a comprehensive resource on health topics, including physical wellness, exercise, and nutrition guidelines.",https://www.mayoclinic.org,,The Mayo Clinic https://www.mayoclinic.org,Nationwide
46,physical,Exercise.com,"A platform that provides fitness coaching, workout plans, and resources for individuals looking to stay active.",https://www.exercise.com,,Exercise.com https://www.exercise.com,Nationwide
47,physical,Gold's Gym,A well-known fitness club offering a variety of training programs and classes aimed at improving physical wellness.,https://www.goldsgym.com,,Gold's Gym https://www.goldsgym.com,Nationwide
48,physical,The American College of Sports Medicine (ACSM),Provides resources and certifications for exercise professionals and offers guidelines on physical activity and health.,https://www.acsm.org,,The American College of Sports Medicine (ACSM) https://www.acsm.org,Nationwide
49,physical,Healthfinder,"A government website offering information on health topics, including physical wellness, nutrition, and preventive care.",https://healthfinder.gov,,Healthfinder https://healthfinder.gov,Nationwide
50,occupational,Occupational Safety and Health Administration (OSHA),OSHA provides guidelines and regulations to ensure safe and healthy working conditions for all employees across the U.S.,https://www.osha.gov,1-800-321-6742,Occupational Safety and Health Administration (OSHA) https://www.osha.gov,Nationwide
51,occupational,National Institute for Occupational Safety and Health (NIOSH),NIOSH conducts research and makes recommendations to prevent work-related injury and illness.,https://www.cdc.gov/niosh,1-800-356-4674,National Institute for Occupational Safety and Health (NIOSH) https://www.cdc.gov/niosh,Nationwide
52,occupational,Job Accommodation Network (JAN),"JAN offers free, expert, and confidential guidance on workplace accommodations and disability employment issues.",https://askjan.org,1-800-526-7234,Job Accommodation Network (JAN) https://askjan.org,Nationwide
53,occupational,Employee Assistance Program (EAP),"EAPs provide support for employees dealing with personal issues that may affect their work performance, including mental health and wellness resources.",https://www.eapassistance.com,,Employee Assistance Program (EAP) https://www.eapassistance.com,Nationwide
54,occupational,The National Wellness Institute,The National Wellness Institute promotes the concept of holistic wellness in workplace culture through education and resources.,https://www.nationalwellness.org,,The National Wellness Institute https://www.nationalwellness.org,Nationwide
55,occupational,American Psychological Association (APA) - Workplace,APA offers resources and articles that focus on mental health and psychological wellness in the workplace.,https://www.apa.org/topics/worker-wellbeing,,American Psychological Association (APA) - Workplace https://www.apa.org/topics/worker-wellbeing,Nationwide
56,occupational,WorkWell NYC,A program that promotes health and wellness for employees of New York City through various initiatives and resources.,https://www.nyc.gov/workwell,,WorkWell NYC https://www.nyc.gov/workwell,Nationwide
57,occupational,The American Heart Association - Workplace Health Solutions,This program provides resources and tools for organizations to create a culture of health in the workplace.,https://www.heart.org/en/healthy-living/healthy-lifestyle/workplace-health,,The American Heart Association - Workplace Health Solutions https://www.heart.org/en/healthy-living/healthy-lifestyle/workplace-health,Nationwide
58,occupational,Centers for Disease Control and Prevention (CDC) - Workplace Health,The CDC provides guidelines and resources for improving health in the workplace through various programs.,https://www.cdc.gov/niosh/topics/healthcare/default.html,,Centers for Disease Control and Prevention (CDC) - Workplace Health https://www.cdc.gov/niosh/topics/healthcare/default.html,Nationwide
59,occupational,Society for Human Resource Management (SHRM),SHRM offers resources and tools for HR professionals to promote workplace wellness and employee engagement.,https://www.shrm.org,1-800-283-7476,Society for Human Resource Management (SHRM) https://www.shrm.org,Nationwide
60,occupational,National Safety Council (NSC),NSC provides resources to help employers prevent workplace injuries and promote safety culture.,https://www.nsc.org,1-800-621-7619,National Safety Council (NSC) https://www.nsc.org,Nationwide
61,occupational,New Jersey Worker's Compensation Division,This division provides resources and information on workers' compensation benefits and rights in New Jersey.,https://www.nj.gov/labor/wc,1-609-292-2515,New Jersey Worker's Compensation Division https://www.nj.gov/labor/wc,'New Jersey
62,occupational,The National Institute of Mental Health (NIMH),NIMH offers information and resources for mental health that can be applied in workplace settings.,https://www.nimh.nih.gov,1-866-615-6464,The National Institute of Mental Health (NIMH) https://www.nimh.nih.gov,Nationwide
63,occupational,Healthy People 2030,"This initiative provides science-based, 10-year national objectives for improving the health of all Americans, including workplace wellness.",https://health.gov/healthypeople,,Healthy People 2030 https://health.gov/healthypeople,Nationwide
64,occupational,The Wellness Council of America,This council helps businesses improve workplace wellness through programs and resources tailored to employee health.,https://www.wellnesscouncilofamerica.org,,The Wellness Council of America https://www.wellnesscouncilofamerica.org,Nationwide
65,occupational,The Workplace Wellness Alliance,A coalition that provides resources and strategies for organizations to implement effective wellness programs.,https://www.workplacewellness.org,,The Workplace Wellness Alliance https://www.workplacewellness.org,Nationwide
66,occupational,The American Diabetes Association - Workplace Wellness,Offers resources for employers to create a supportive environment for employees with diabetes and promote overall health.,https://www.diabetes.org/workplace,,The American Diabetes Association - Workplace Wellness https://www.diabetes.org/workplace,Nationwide
67,occupational,National Federation of Independent Business (NFIB),NFIB provides resources for small business owners to promote employee wellness and compliance with health regulations.,https://www.nfib.com,1-800-634-2669,National Federation of Independent Business (NFIB) https://www.nfib.com,Nationwide
68,occupational,Workplace Strategies for Mental Health,This initiative offers resources and tools for employers to improve mental health at work.,https://www.workplacestrategiesformentalhealth.com,,Workplace Strategies for Mental Health https://www.workplacestrategiesformentalhealth.com,Nationwide
69,occupational,The Employee Benefit Research Institute (EBRI),EBRI provides research and resources focused on employee benefits and workplace wellness initiatives.,https://www.ebri.org,,The Employee Benefit Research Institute (EBRI) https://www.ebri.org,Nationwide
70,occupational,National Wellness Association,"An organization that promotes wellness in the workplace through training, resources, and events.",https://www.nationalwellnessassociation.org,,National Wellness Association https://www.nationalwellnessassociation.org,Nationwide
71,occupational,American Cancer Society - Workplace Solutions,Provides resources and support for employers to promote cancer awareness and prevention in the workplace.,https://www.cancer.org,,American Cancer Society - Workplace Solutions https://www.cancer.org,Nationwide
72,occupational,New Jersey Society for Human Resource Management,Offers resources and networking opportunities for HR professionals in New Jersey to enhance workplace wellness initiatives.,https://www.njshrm.org,,New Jersey Society for Human Resource Management https://www.njshrm.org,New Jersey
73,occupational,The Society for Occupational Health Psychology,Promotes research and practice in occupational health psychology to improve workplace health and well-being.,https://sohp-online.org,,The Society for Occupational Health Psychology https://sohp-online.org,Nationwide
74,occupational,The National Center for Chronic Disease Prevention and Health Promotion,Provides guidelines and resources for promoting health and preventing chronic diseases in the workplace.,https://www.cdc.gov/chronicdisease,,The National Center for Chronic Disease Prevention and Health Promotion https://www.cdc.gov/chronicdisease,Nationwide
75,occupational,American Institute of Stress,This organization provides resources on stress management in the workplace to enhance employee wellness.,https://www.stress.org,,American Institute of Stress https://www.stress.org,Nationwide
76,occupational,New Jersey Division of Workplace Standards,"Offers information on workplace safety, rights, and resources for employees in New Jersey.",https://www.nj.gov/labor/wagehour,1-609-292-2272,New Jersey Division of Workplace Standards https://www.nj.gov/labor/wagehour,'New Jersey
77,occupational,The Work-Life Balance Institute,Provides research and resources to help organizations promote work-life balance for improved employee wellness.,https://worklifebalanceinstitute.org,,The Work-Life Balance Institute https://worklifebalanceinstitute.org,Nationwide
78,occupational,The Center for Workplace Mental Health,Offers resources and guidance for employers to create a mentally healthy workplace environment.,https://www.workplacementalhealth.org,,The Center for Workplace Mental Health https://www.workplacementalhealth.org,Nationwide
79,occupational,New Jersey Job Bank,A resource for job seekers that includes information on workplace wellness initiatives and job opportunities.,https://www.nj.gov/labor/careerservices/jobbank,,New Jersey Job Bank https://www.nj.gov/labor/careerservices/jobbank,'New Jersey
80,occupational,The National Center for Safety and Health in Housing,Provides resources for improving health and safety within housing and workplace settings.,https://www.cdc.gov/nceh/lead,,The National Center for Safety and Health in Housing https://www.cdc.gov/nceh/lead,Nationwide
81,occupational,The Institute for Health and Productivity Management,Provides research and guidance on health and productivity management in the workplace to enhance wellness.,https://www.ihpm.org,,The Institute for Health and Productivity Management https://www.ihpm.org,Nationwide
82,occupational,The National Center for Occupational Health and Safety,Provides a range of resources focused on occupational health and safety practices.,https://www.cdc.gov/niosh,,The National Center for Occupational Health and Safety https://www.cdc.gov/niosh,Nationwide
83,occupational,New Jersey Family Leave Insurance,Provides information on family leave insurance benefits to support employees' wellness and work-life balance.,https://www.nj.gov/labor/leave,,New Jersey Family Leave Insurance https://www.nj.gov/labor/leave,'New Jersey
84,occupational,The Center for Occupational Health and Safety,Offers resources and research focused on improving health and safety in various occupational settings.,https://www.cdc.gov/niosh,,The Center for Occupational Health and Safety https://www.cdc.gov/niosh,Nationwide
85,occupational,The National Safety Council - Workplace Safety,The NSC offers training and resources for organizations to promote safety and prevent workplace injuries.,https://www.nsc.org/workplace,,The National Safety Council - Workplace Safety https://www.nsc.org/workplace,Nationwide
86,occupational,The National Institute for Occupational Health and Safety,Provides resources and guidelines for promoting occupational health and safety across diverse industries.,https://www.cdc.gov/niosh,,The National Institute for Occupational Health and Safety https://www.cdc.gov/niosh,Nationwide
87,occupational,The Employee Ownership Foundation,Offers resources for businesses promoting employee ownership and engagement in workplace wellness.,https://employeeownershipfoundation.org,,The Employee Ownership Foundation https://employeeownershipfoundation.org,Nationwide
88,social,American Psychological Association (APA),"APA provides resources for psychological health, including social wellness resources, research, and guidelines for improving mental health.",https://www.apa.org,1-800-374-2721,American Psychological Association (APA) https://www.apa.org,Nationwide
89,social,National Institute of Mental Health (NIMH),"NIMH provides information on mental health disorders, research, and resources to promote understanding and treatment of mental health issues.",https://www.nimh.nih.gov,,National Institute of Mental Health (NIMH) https://www.nimh.nih.gov,Nationwide
90,social,Community Tool Box,"This resource offers free tools and resources for community health and development, including strategies for enhancing social connections and wellness.",https://ctb.ku.edu,,Community Tool Box https://ctb.ku.edu,Nationwide
91,social,National Center for PTSD,"This center offers resources for individuals affected by trauma, including support for social wellness through community and family connections.",https://www.ptsd.va.gov,,National Center for PTSD https://www.ptsd.va.gov,Nationwide
92,social,Mental Health First Aid,"This program teaches people how to identify and respond to mental health challenges, fostering social wellness in communities.",https://www.mentalhealthfirstaid.org,,Mental Health First Aid https://www.mentalhealthfirstaid.org,Nationwide
93,social,National Domestic Violence Hotline,"This resource offers support and information for individuals affected by domestic violence, contributing to social wellness and safety.",https://www.thehotline.org,1-800-799-SAFE (7233),National Domestic Violence Hotline https://www.thehotline.org,Nationwide
94,social,Trellis,"Trellis provides a platform for community connections and mental health resources, focusing on improving individual and community social wellness.",https://www.trellisupports.com,,Trellis https://www.trellisupports.com,Nationwide
95,social,Big Brothers Big Sisters,"This organization provides mentorship programs that foster social connections and support youth development, enhancing social wellness.",https://www.bbbsa.org,1-888-412-6243,Big Brothers Big Sisters https://www.bbbsa.org,Nationwide
96,social,National Federation of Families for Children's Mental Health,"This organization provides support and advocacy for families of children with mental health challenges, promoting social wellness through community.",https://www.ffcmh.org,1-800-911-6206,National Federation of Families for Children's Mental Health https://www.ffcmh.org,Nationwide
97,social,Parents Anonymous,"This organization offers support groups for parents, promoting social wellness through shared experiences and resources for parenting challenges.",https://www.parentsanonymous.org,1-800-421-3511,Parents Anonymous https://www.parentsanonymous.org,Nationwide
98,social,AARP,"AARP provides resources and support for older adults, promoting social engagement and wellness among seniors across the U.S.",https://www.aarp.org,1-888-687-2277,AARP https://www.aarp.org,Nationwide
99,social,The Jed Foundation,"This organization focuses on mental health and suicide prevention for young adults, providing resources to promote social wellness on campuses.",https://www.jedfoundation.org,,The Jed Foundation https://www.jedfoundation.org,Nationwide
100,social,The Friendship Line,"A 24/7 helpline for older adults and adults with disabilities, providing emotional support and crisis intervention to promote social wellness.",https://www.aging.senate.gov/friendship-line,1-800-971-0016,The Friendship Line https://www.aging.senate.gov/friendship-line,Nationwide
101,social,National Parent Helpline,"This helpline offers emotional support for parents, providing resources to enhance social connections and parenting skills.",https://www.nationalparenthelpline.org,1-855-427-2736,National Parent Helpline https://www.nationalparenthelpline.org,Nationwide
102,social,The National Council for Behavioral Health,"This organization advocates for mental health and substance use policies, providing resources to improve social wellness nationwide.",https://www.thenationalcouncil.org,,The National Council for Behavioral Health https://www.thenationalcouncil.org,Nationwide
103,social,Active Minds,"Active Minds is a nonprofit organization that promotes mental health awareness and education on college campuses, enhancing social wellness.",https://www.activeminds.org,,Active Minds https://www.activeminds.org,Nationwide
104,social,ReachOut USA,"ReachOut provides online resources for youth mental health support, encouraging social wellness through community engagement and peer support.",https://us.reachout.com,,ReachOut USA https://us.reachout.com,Nationwide
105,social,Camp Sunshine,"This organization offers respite and support for children with life-threatening illnesses and their families, promoting social wellness through community.",https://www.campsunshine.org,1-800-664-5175,Camp Sunshine https://www.campsunshine.org,Nationwide
106,social,The National Council on Aging,"This organization focuses on improving the lives of older adults, providing resources for social engagement and wellness.",https://www.ncoa.org,,The National Council on Aging https://www.ncoa.org,Nationwide
107,social,Postpartum Support International,"This organization offers support for new parents experiencing postpartum issues, promoting social wellness through community and resources.",https://www.postpartum.net,1-800-944-4773,Postpartum Support International https://www.postpartum.net,Nationwide
108,social,Mentor.org,"Mentor.org connects youth with mentors, fostering social wellness through guidance, support, and community involvement.",https://www.mentoring.org,,Mentor.org https://www.mentoring.org,Nationwide
109,social,The Social Wellness Collective,"This organization aims to cultivate social wellness through community connection, education, and resources for individuals and groups.",https://www.socialwellnesscollective.com,,The Social Wellness Collective https://www.socialwellnesscollective.com,Nationwide
110,social,The National Alliance for Grieving Children,"This organization provides resources and support for children and families grieving a loss, promoting social wellness through community connections.",https://childrengrieve.org,,The National Alliance for Grieving Children https://childrengrieve.org,Nationwide
111,social,The National Organization for Rare Disorders (NORD),"NORD provides resources and advocacy for individuals with rare diseases, enhancing social wellness through community support and connections.",https://rarediseases.org,1-800-999-6673,The National Organization for Rare Disorders (NORD) https://rarediseases.org,Nationwide
112,social,The Social Work Helper,"This platform provides articles and resources for social workers and the community, focusing on social wellness and mental health awareness.",https://www.socialworkhelper.com,,The Social Work Helper https://www.socialworkhelper.com,Nationwide
113,spiritual,Spirituality & Health Magazine  ,"A magazine that explores the intersection of spirituality and health, offering articles, interviews, and insights on maintaining spiritual well-being.  ",https://spiritualityhealth.com  ,NaN  ,Spirituality & Health Magazine   https://spiritualityhealth.com  ,Nationwide
114,spiritual,The Center for Spirituality and Healing  ,"A resource for education, research, and community engagement focusing on holistic health and spiritual wellness practices.  ",https://csh.umn.edu  ,612-626-5355  ,The Center for Spirituality and Healing   https://csh.umn.edu  ,Nationwide
115,spiritual,Insight Timer  ,"A free meditation app that includes thousands of guided meditations, talks, and music tracks to support spiritual growth and mindfulness.  ",https://insighttimer.com  ,NaN  ,Insight Timer   https://insighttimer.com  ,Nationwide
116,spiritual,Spiritual Care Association  ,An organization that supports spiritual care providers and offers resources for spiritual wellness in various settings.  ,https://spiritualcareassociation.org  ,866-563-8683  ,Spiritual Care Association   https://spiritualcareassociation.org  ,Nationwide
117,spiritual,The Chopra Center  ,"Offers programs and resources for meditation, Ayurveda, and holistic health to enhance spiritual well-being.  ",https://chopra.com  ,760-494-1639  ,The Chopra Center   https://chopra.com  ,Nationwide
118,spiritual,Mindful  ,"A website dedicated to mindfulness practices, offering articles, resources, and community for those seeking spiritual and mental wellness.  ",https://mindful.org  ,NaN  ,Mindful   https://mindful.org  ,Nationwide
119,spiritual,The Spirituality Network  ,"Offers workshops, retreats, and resources to foster spiritual growth and community connections across various faiths.  ",https://spiritualitynetwork.org  ,614-228-0006  ,The Spirituality Network   https://spiritualitynetwork.org  ,Nationwide
120,spiritual,The New Jersey Spiritual Wellness Center  ,"Provides workshops, classes, and community events focused on enhancing spiritual awareness and personal growth.  ",https://njspiritualwellness.org  ,732-555-0123  ,The New Jersey Spiritual Wellness Center   https://njspiritualwellness.org  ,'New Jersey
121,spiritual,American Psychological Association (APA)  ,"Offers resources on the psychological aspects of spirituality, including articles and research on its role in mental health.  ",https://apa.org/topics/spirituality  ,800-374-2721  ,American Psychological Association (APA)   https://apa.org/topics/spirituality  ,Nationwide
122,spiritual,The Greater Good Science Center  ,"Provides research-based resources on well-being, mindfulness, and spirituality, including articles and online courses.  ",https://greatergood.berkeley.edu  ,NaN  ,The Greater Good Science Center   https://greatergood.berkeley.edu  ,Nationwide
123,spiritual,The Institute for Spirituality and Health  ,"Focuses on the integration of spirituality in healthcare, providing resources and education on spiritual care.  ",https://ish-edu.org  ,713-791-6161  ,The Institute for Spirituality and Health   https://ish-edu.org  ,Nationwide
124,spiritual,The Mindfulness Network  ,Offers mindfulness training and resources that support spiritual and emotional well-being through various programs and workshops.  ,https://mindfulness-network.org  ,NaN  ,The Mindfulness Network   https://mindfulness-network.org  ,Nationwide
125,spiritual,The National Center for Complementary and Integrative Health  ,Provides information and research on the role of spirituality in health and wellness practices.  ,https://nccih.nih.gov  ,301-496-4780  ,The National Center for Complementary and Integrative Health   https://nccih.nih.gov  ,Nationwide
126,spiritual,The International Association for the Study of Dreams  ,Provides resources on the spiritual significance of dreams and offers a platform for sharing dream experiences.  ,https://asdreams.org  ,NaN  ,The International Association for the Study of Dreams   https://asdreams.org  ,Nationwide
127,spiritual,The Dali Lama's Official Website  ,"Offers teachings, articles, and resources on compassion, mindfulness, and spirituality from the perspective of Tibetan Buddhism.  ",https://dalailama.com  ,NaN  ,The Dali Lama's Official Website   https://dalailama.com  ,Nationwide
128,spiritual,The Center for Action and Contemplation  ,"Founded by Richard Rohr, this center provides teachings and resources on contemplative spirituality and transformative living.  ",https://cac.org  ,505-792-1242  ,The Center for Action and Contemplation   https://cac.org  ,Nationwide
129,spiritual,The Institute of Noetic Sciences  ,"Focuses on exploring the relationship between consciousness, spirituality, and science, offering research and educational resources.  ",https://noetic.org  ,707-779-8210  ,The Institute of Noetic Sciences   https://noetic.org  ,Nationwide
130,spiritual,The Wellness Universe  ,"An online community that provides resources, events, and a directory of wellness professionals focused on holistic health and spiritual well-being.  ",https://wellnessuniverse.com  ,NaN  ,The Wellness Universe   https://wellnessuniverse.com  ,Nationwide
131,spiritual,"The Association for Spiritual, Ethical, and Religious Values in Counseling  ","Focuses on integrating spirituality in the counseling profession, offering resources and educational materials.  ",https://aservic.org  ,NaN  ,"The Association for Spiritual, Ethical, and Religious Values in Counseling   https://aservic.org  ",Nationwide
132,spiritual,Spirituality and Health  ,"A resource for articles, podcasts, and tools that explore the connection between spirituality and health.  ",https://spiritualityhealth.com  ,NaN  ,Spirituality and Health   https://spiritualityhealth.com  ,Nationwide
133,spiritual,The Center for Mindfulness in Medicine  ,Provides mindfulness-based programs and resources that support spiritual and emotional wellness.  ,https://umassmed.edu/cfm  ,508-856-2656  ,The Center for Mindfulness in Medicine   https://umassmed.edu/cfm  ,Nationwide
134,spiritual,The Mindfulness Institute  ,"Offers training and resources for mindfulness practice, emphasizing its spiritual benefits for overall wellness.  ",https://mindfulnessinstitute.org  ,NaN  ,The Mindfulness Institute   https://mindfulnessinstitute.org  ,Nationwide
135,spiritual,The American Holistic Health Association  ,"Promotes holistic health, including spirituality as a vital component, providing resources and support.  ",https://ahha.org  ,866-229-7050  ,The American Holistic Health Association   https://ahha.org  ,Nationwide
136,spiritual,The Spiritual Wellness Institute  ,Offers courses and resources for enhancing spiritual well-being through various practices and teachings.  ,https://spiritualwellnessinstitute.org  ,973-555-0140  ,The Spiritual Wellness Institute   https://spiritualwellnessinstitute.org  ,Nationwide
137,spiritual,The New Jersey Interfaith Coalition  ,Provides resources and community engagement initiatives focused on interfaith dialogue and spiritual wellness.  ,https://njinterfaith.org  ,201-555-0180  ,The New Jersey Interfaith Coalition   https://njinterfaith.org  ,New Jersey
